­¶½X,¤º®e
158,"Judges: Richard A. Kramer, Paul H. Alvarado, Superior Court Judge"
158,"Opinion by: Richard A. Kramer, Paul H. Alvarado"
217,"Judges:  [*1] Honorable Peter H. Kirwan, Judge of the Superior Court."
217,Opinion by: Peter H. Kirwan
240,"Counsel:  [*1] For Plaintiffs: RobertS. Green (SBN 136183), GREEN & NOBLIN, P.C., Larkspur, CA; Robert M. 
Bramson (SBN 102006), Jendlc Welling (SBN 209480), BRAMSON, PLUTZIK, MAHLER & BIRKHAEUSER, LLP, 
Walnut Creek, CA; William A. Kershaw (SBN 057486), Kershaw, Cook & Talley PC, Sacramento, CA.
For HP Inc. f/k/a Hewlett-Packard Company, Defendant: Michael J. Stortz (SBN 139386), Drinker Biddle & Reath 
LLP, San Francisco, CA; Daniel J. Bergeson (SBN 105439), Bergeson LLP, San Jose, CA."
240,"Judges: Hon. Peter H. Kirwan, Judge of the Superior Court."
240,Opinion by: Peter H. Kirwan
259,"Counsel:  [*1] For Plaintiff: R. Alexander Saved (SBN 173102), Geoffery C. Rushing (SBN 126910), SAVERI & 
SAVERI LLP, San Francisco, CA.
For Plaintiff: William F. Murphy (SBN 82482), William P. Wilson (SBN 23044), DILLINGHAM & MURPHY LLP, San 
Francisco, CA.
For Nestle USA, Inc., Plaintiff: Peter E, Moll (D.C. Bar No. 231282), CADWALADER, WICKERSHAM, & TAFT LLP, 
Washington, D.C.."
259,"Judges: Honorable, Mary E. Wiss, Judge."
259,Opinion by: Mary E. Wiss
286,"Judges:  [*1] GERALD J. BUCHWALD, JUDGE OF THE SUPERIOR COURT."
286,Opinion by: GERALD J. BUCHWALD
290,"Counsel:  [*1] For Defendants GLENDALE ADVENTIST MEDICAL CENTER AND LUKAS ALEXANIAN, M.D.: 
Colin M. McGrath, MANATT, PHELPS & PHILLIPS, LLP."
290,"Judges: Hon. William D. Stewart, Judge of the Superior Court."
290,Opinion by: William D. Stewart
300,"Judges:  [*1] Hon Samantha P. Jessner, Judge."
300,Opinion by: Samantha P. Jessner
307,"Counsel:  [*1] For WELLS FARGO BANK, NATIONAL ASSOCIATION, AS TRUSTEE FOR STRUCTURED 
ASSET MORTGAGE INVESTMENTS II INC., BEAR STEARNS MORTGAGE FUNDING TRUST 2006-AR2, 
MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2006-AR2; AND MORTGAGE ELECTRONIC 
REGISTRATION SYSTEMS, INC., ERRONEOUSLY SUED AS ""MORTGAGE ELECTRONIC REGISTRATION 
SYSTEMS"", Defendants: THOMAS A. WOODS (SB #210050), STOEL RIVES LLP, Sacramento, CA; BAO M. VU 
(SB #277970) STOEL RIVES LLP, San Francisco, CA.
For Plaintiff: Patricia Rodriguez, RODRIGUEZ LAW GROUP, INC., Fernando Angeles."
307,Judges: HON. RICHARD H. DUBOIS.
307,Opinion by: RICHARD H. DUBOIS
310,"Judges:  [*1] Curtis E.A. Karnow, Judge Of The Superior Court."
310,Opinion by: Curtis E.A. Karnow
341,"Judges:  [*1] MAREN E. NELSON, Judge of the Superior Court."
341,Opinion by: MAREN E. NELSON
351,"Judges:  [*1] Kenneth Freeman, Judge of the Superior Court."
351,Opinion by: Kenneth Freeman
370,"Counsel:  [*1] ROBERT G LOEWY, counsel, present for Plaintiff(s).
Christopher S. Morris, specially appearing for counsel Jacob A. Gillick, present for Defendant(s)."
370,Judges: John S. Meyer.
370,Opinion by: John S. Meyer
374,"Counsel:  [*1] Saleen K. Erakat, from Callahan & Blaine, APLC, present for Plaintiff(s).
Peter Sunukjian, from Briggs & Alexander, APC, present for Defendant(s)."
374,Judges: Walter Schwarm.
374,Opinion by: Walter Schwarm
381,"Judges:  [*1] Anne-Christine Massullo, Judge of the Superior Court."
381,Opinion by: Anne-Christine Massullo
390,"Judges:  [*1] LISA HART COLE, Judge of the Superior Court."
390,Opinion by: LISA HART COLE
402,Counsel:  [*1] There are no appearances by any party.
402,"Judges: Deborah Servino, Judge."
402,Opinion by: Deborah Servino
406,"Judges:  [*1] Gregory W. Alarcon, Superior Court Judge."
406,Opinion by: Gregory W. Alarcon
410,Counsel:  [*1] There are no appearances by any party.
410,Judges: Walter Schwarm.
410,Opinion by: Walter Schwarm
417,"Judges:  [*1] Kenneth Freeman, Judge of the Superior Court."
417,Opinion by: Kenneth Freeman
432,"Counsel:  [*1] For Plaintif: Thomas R. Bradford, from Peterson Bradford Burkwitz Olorunbunmi Hambolu, from 
Prindle, Goetz, Barnes & Reinholtz LLP."
436,"Counsel:  [*1] For Plaintiff:Edward A. Stumpp, from Helton Law Group, APC.
For Defendant:Lloyd Vu, from Doll Amir & Eley Llp."
436,"Judges: Theodore Howard, Judge."
436,Opinion by: Theodore Howard
