文件名稱         ,頁碼 ,內容類型   ,內容
0101 (1).pdf     , 110 ,Counsel    ,"Counsel: Mr. Daniel M. Gribbon, Washington, District of Columbia and Mr. John D. French, Minneapolis,
                                    Minnesota. Rebuttal was may be Mr. Gribbon.  For Appellants
                                    Mr. Edward M. Glennon, Minneapolis, Minnesota.  For Appellees.
                                    National Football League and Alvin Ray Rozell, are Messrs. John D. French and James B. Loken, Minneapolis,
                                    Minnesota.  For Appellants
                                    26 Member Clubs of the Natl.  Football League, are Messrs. Daniel M. Gribbon, James C. McKay, Paul J.
                                    Tagliabue and Theodore Voorhees, Jr., Covington & Burling, Washington, District of Columbia and Mr. Irving R.
                                    Brand, Maslon, Kaplan, Edelman, Borman, Brand & McNulty, Minneapolis, Minnesota.  For Appellants.
                                    Are Messrs. Edward M. Glennon, Mark R. Johnson, Ronald J. Rollins of Lindquist & Vennum, Minneapolis,
                                    Minnesota.  For Appellees"
0101 (1).pdf     , 110 ,Judges     ,"Judges: Gibson, Chief Judge, Lay and Webster, Circuit Judges."
0101 (1).pdf     , 110 ,Opinion by ,Opinion by: LAY
0101 (1).pdf     , 137 ,Judges     ,"Judges:  [**1]  Cahn, D.J."
0101 (1).pdf     , 137 ,Opinion by ,Opinion by: CAHN
0101 (1).pdf     , 171 ,Counsel    ,"Counsel: Howard A. Specter, Esq., David R. Brown, Esq., Litman Litman Harris & Specter, P.A., Pittsburgh,
                                    Pennsylvania, Attorneys for Appellant.
                                    Richard M. Abrams, Esq., Michael M. Baylson, Esq., Henry T. Reath, Esq., Duane, Morris & Heckscher, Esqs.,
                                    Philadelphia, Pennsylvania, Attorneys for Appellee, James C. Tuttle, Esq., of Counsel."
0101 (1).pdf     , 171 ,Judges     ,"Judges: Adams, Hunter and Garth, Circuit Judges."
0101 (1).pdf     , 171 ,Opinion by ,Opinion by: GARTH
0101 (1).pdf     , 188 ,Counsel    ,"Counsel:  [**1]  Frederic L. Ballard, Esq., William S. Rawls, Esq., Richard L. Sherman, Esq., Ballard, Spahr,
                                    Andrews, & Ingersoll, Philadelphia, Pennsylvania, For Plaintiff.
                                    
                                    
                                    Edward N. Sherry, Esq., Jack Kaufmann, Esq., Griffith B. Price, Jr., Esq., John F. Collins, Esq., Dewey, Ballantine,
                                    Bushby, & Wood, New York, New York, John B. Harkins, Jr., Esq., Marjorie G. Marinoff, Esq., Of Counsel, Pepper,
                                    Hamilton & Sheetz, Philadelphia, Pennsylvania, For Defendant."
0101 (1).pdf     , 189 ,Judges     ,"Judges:  A. Leon Higginbotham, Judge."
0101 (1).pdf     , 189 ,Opinion by ,Opinion by: HIGGINBOTHAM
0101 (1).pdf     , 229 ,Judges     ,"Judges:  [**1]  Orrick, D.J."
0101 (1).pdf     , 229 ,Opinion by ,Opinion by: ORRICK
0101 (1).pdf     , 241 ,Counsel    ,"Counsel:  [**1]  Melville C. Williams, For Clark Oil & Refining Corporation; Charles L. Dunlap, Clark Oil & Refining
                                    Corporation, Milwaukee, Wisconsin, For Clark Oil & Refining Corporation.
                                    William E. Glassner, Jr., and Robert B. Corris, Milwaukee, Wisconsin, For Plaintiffs in Myles Jackson case, C.A. No.
                                    73-C-74.
                                    John Cusack, Chicago, Illinois, Samuel J. Betar, Chicago, Illinois, For Plaintiffs in Ashcraft case, C.A. No. 73-C-566.
                                    Pope, Ballard, Shepard & Fowle, 69 West Washington Street
                                    Schippers, Betar, Lamendella & O'Brien, 79 West Monroe Street, Chicago, Illinois 60603
                                    Gardner, Carton & Douglas, One First National Plaza, Chicago, Illinois 60603
                                    Charne, Glassner, Tehan, Clancy & Taitelman s.c., 211 West Wisconsin Avenue, Milwaukee, Wisconsin 53203"
0101 (1).pdf     , 241 ,Judges     ,Judges:  Reynolds
0101 (1).pdf     , 241 ,Opinion by ,Opinion by: REYNOLDS
0101 (1).pdf     , 256 ,Counsel    ,"Counsel:  [**1]  Robert L. Wright, Esq., Washington, District of Columbia (Arthur M. Wisehart, Esq., and Wisehart,
                                    Friou & Koch, Esqs., New York, New York, of Counsel), for Plaintiff.
                                    Edward M. Zimmerman, Esq., Washington, District of Columbia (S. William Livingston, Jr., Esq., and Covington &
                                    Burling, Esqs., Washington, District of Columbia and Frank H. Gordon, Esq., and Rogers, Hoge & Hills, Esqs., New
                                    York, New York, of Counsel), for Defendant Alabama Great Southern Railroad Company, et al.
                                    Carl E. Newton, Esq., New York, New York (Thomas J. Ahlf, Esq., John W. Wall, Esq., and Donovan, Leisure,
                                    Newton & Irvine, Esqs., New York, New York, of Counsel), for Defendants The Chesapeake & Ohio Railway
                                    Company, The Baltimore and Ohio Railroad Company, and Western Maryland Railway Company.
                                    Peter M. Shannon, Sr., Esq., Washington, District of Columbia (Arthur J. Cerra, General Council, and Peter A.
                                    Fitzpatrick, Acting Associate General Counsel, Interstate Commerce Commission, of Counsel), for Intervenor.
                                    Thomas E. Kauper, Assistant Attorney General, Carl D. Lawson, Esq., and Catherine G. O'Sullivan, Esq.,
                                    Department of Justice, Washington, District of Columbia, for United States of America (on the brief)."
0101 (1).pdf     , 256 ,Judges     ,"Judges:  [**2]  Friendly, Circuit Judge, and Knapp and Griesa, District Judges."
0101 (1).pdf     , 256 ,Opinion by ,Opinion by: FRIENDLY
0101 (1).pdf     , 272 ,Judges     ,"Judges:  [**1]  Newcomer, J."
0101 (1).pdf     , 272 ,Opinion by ,Opinion by: NEWCOMER
0101 (1).pdf     , 287 ,Counsel    ,"Counsel:  [**1]  Kevin M. Prongay, Jersey City, New Jersey, and Arthur J. Lesemann, Hackensack, New Jersey,
                                    for plaintiffs.
                                    Smith & DeLucia by Myroslaw Smorodsky, Rutherford, New Jersey, for defendants Eastern Bergen County Multiple
                                    Listing Service, Inc., and Central Bergen County Multiple Listing Service, Inc.
                                    Orbe and Nugent by Alfred S. Nugent, Jr., Ridgewood, New Jersey, for defendant Pascack Valley Multiple Listing
                                    Service, Inc.
                                    Greenberg & Covitz by Morton R. Covitz, Englewood, New Jersey, for defendants Robert Pogol and Cross County
                                    of Bergen.
                                    Leonard Adler, Englewood, New Jersey, for defendant Handleman Realty Co., Inc.
                                    Victor K. Brown, Bengenfield, New Jersey, for defendant Carl Cimarosa, d/b/a Country Club Real Estate
                                    Organization, Inc.
                                    Adams, Adubato, Tafro & Connelly by Maurice H. Connelly, South Orange, New Jersey, for defendant Joseph G.
                                    Spangenberger, Inc.
                                    Barry I. Fredericks, Ridgewood, New Jersey, for defendant Northeast Bergen Multiple Listing Service, Inc."
0101 (1).pdf     , 288 ,Judges     ,"Judges: Stern, District Judge."
0101 (1).pdf     , 288 ,Opinion by ,Opinion by: STERN
0101 (1).pdf     , 301 ,Counsel    ,"Counsel: Frank Gregory, of Chapel, Wilkinson, Riggs & Abney, Tulsa, Oklahoma (M. David Riggs, of Chapel,
                                    Wilkinson, Riggs & Abney, on the brief), for Plaintiff-Appellant.
                                    Coleman H. Hayes, of Monnet, Hayes, Bullis, Thompson & Edwards, Oklahoma City, Oklahoma (Deane C. Watson,
                                    of Lumpkin, Watson, Barras & Reavis, Amarillo, Texas, on the brief), for Defendant-Appellee Mead Foods, Inc."
0101 (1).pdf     , 301 ,Judges     ,"Judges: Lewis, Chief Judge, Breitenstein and Doyle, Circuit Judges."
0101 (1).pdf     , 301 ,Opinion by ,Opinion by: DOYLE
0101 (1).pdf     , 309 ,Judges     ,"Judges:  [**1]  Waddy, D.J."
0101 (1).pdf     , 309 ,Opinion by ,Opinion by: WADDY
0101 (1).pdf     , 319 ,Counsel    ,"Counsel: Timothy H. Fine, Esq. (argued) of San Francisco, California, For Appellants/Cross-Appellees.
                                    Michael N. Khourie, Esq. (argued) of Broad, Khourie & Schultz, San Francisco, California, For Appellees/Cross-
                                    Appellants."
0101 (1).pdf     , 319 ,Judges     ,"Judges: Merrill and Hufstedler, Circuit Judges, and Smith, * District Judge.  Smith, District Judge (concurring and
                                    dissenting)."
0101 (1).pdf     , 319 ,Opinion by ,Opinion by: HUFSTEDLER
0101 (1).pdf     , 339 ,Counsel    ,"Counsel: John H. Boone, Esquire, (argued), San Francisco, California
                                    Norman Allenby, Esquire, (argued) of Hillyer & Irwin, San Diego, California, for Appellants.
                                    Noble Gregory, Esquire, (argued) of Pillsbury, Madison & Sutro, San Francisco, California, for Appellee."
0101 (1).pdf     , 339 ,Judges     ,"Judges: Browning and Choy, Circuit Judges, and Gray, * District Judge."
0101 (1).pdf     , 339 ,Opinion by ,Opinion by: CHOY
0101 (1).pdf     , 356 ,Counsel    ,"Counsel: Jeffrey E. Streitfeld, Miami Beach, Florida.
                                    Mark E. Polan, Lauderdale, Florida, for Appellant.
                                    Frederick E. Hollingsworth, Palm Beach, Florida."
0101 (1).pdf     , 356 ,Judges     ,"Judges: Morgan and Gee, Circuit Judges, and Hunter, District Judge."
0101 (1).pdf     , 356 ,Opinion by ,Opinion by: PER CURIAM
0101 (1).pdf     , 359 ,Judges     ,"Judges:  [**1]  Brotman, D.J."
0101 (1).pdf     , 359 ,Opinion by ,Opinion by: BROTMAN
0101 (1).pdf     , 367 ,Counsel    ,"Counsel: Barry Winograd, Salinas, California.
                                    Howard Downs, Petty Andrews, Tufts & Jackson, San Francisco, California, For Plaintiff.
                                    Norman Hile, James Haynes, Orick, Herrington, Rowley & Sutcliffe, San Francisco Robins, Davis & Lyons,
                                    Minneapolis, Minnesota, For Defendant."
0101 (1).pdf     , 367 ,Judges     ,Judges:  Spencer Williams
0101 (1).pdf     , 367 ,Opinion by ,Opinion by: WILLIAMS
0101 (1).pdf     , 373 ,Judges     ,"Judges:  [**1]   Williams, D.J."
0101 (1).pdf     , 373 ,Opinion by ,Opinion by: WILLIAMS
0101 (1).pdf     , 382 ,Counsel    ,"Counsel: Daniel P. Levitt, New York, New York (Nickerson, Kramer, Lowenstein, Nessen, Kamin & Soll, New York,
                                    New York, Kenneth Berlin, Philip Hirschkop & Associates, Ltd., Alexandria, Virginia, Philip J. Hirschkop, of counsel),
                                    for Plaintiffs-Appellants.
                                    Edward F. Howrey, Washington, District of Columbia (Howrey & Simon, Washington, District of Columbia, A.
                                    Duncan Whitaker, Harry E. Jennings, Jr., Mark D. Wegener, Mobil Oil Corporation, New York, New York, Richard
                                    H. Zahm, Juliet Shepard, of counsel), for Defendant Mobil Oil Corp.
                                    (Kaye, Scholer, Fierman, Hays & Handler, New York, New York, Milton J.  Schubin, Texaco Inc., New York, New
                                    York, Charles F. Kazlauskas, Jr., G.  Kenneth Handley, Lawrence R. Jerz, of counsel), for Defendant Texaco Inc.
                                    (Lord, Day & Lord, New York, New York, Gordon B. Spivack, John W.  Castles, 3d, Harry G. Sklarsky, David H.
                                    Marks, Carolyn Ellis, Pillsbury, Madison & Sutro, San Francisco, California, Turner H. McBaine,  [**2]  Wallace L.
                                    Kaapcke, Thomas E. Haven, of counsel), for Defendant Standard Oil Company of California.
                                    (Shea, Gould, Climenko, Kramer & Casey, New York, New York, Bruce A.  Hecker, Joseph Ferraro, of counsel), for
                                    the British Petroleum Company Limited.
                                    (Sullivan & Cromwell, New York, New York, Robert MacCrate, Robert M.  Osgood, Barbara A. Mentz, of counsel),
                                    for Defendant Exxon Corporation."
0101 (1).pdf     , 383 ,Judges     ,"Judges: Mulligan and Van Graafeiland, Circuit Judges, and Gagliardi, District Judge. * Van Graafeiland, Circuit
                                    Judge, dissents."
0101 (1).pdf     , 383 ,Opinion by ,Opinion by: MULLIGAN
0101 (1).pdf     , 401 ,Counsel    ,"Counsel: Robert C. Keck, James G. Hiering, Valentine A. Weber, Jr., Keck, Cushman, Mahin & Cate, Benjamin M.
                                    Quigg, Jr., Morgan, Lewis & Bockius for United States Gypsum Company.
                                    H. Francis DeLone, Alfred W. Cortese, Jr., John F. Wilson, III, Dechert, Price & Rhoads for National Gypsum
                                    Company.
                                    Cloyd R. Mellott, William B. Mallin, Barton Z. Cowan, J. Gary Kosinski, D. Richard Funk, Eckert, Seamans, Cherin &
                                    Mellott for Georgia-Pacific Corporation.
                                    W. Donald McSweeney, William A. Montgomery, Joseph R. Lundy, Schiff, Hardin & Waite for The Celotex
                                    Corporation.
                                    
                                    
                                    Paul C. Warnke, Thomas Richard Spradlin, Clifford, Warnke, Glass, McIlwain & Finney for Colon Brown and J. P.
                                    Nicely.
                                    Fred H. Bartlit, Jr., Thomas A. Gottschalk, Jeffrey S. Davidson, Kirkland & Ellis for Andrew J. Watt."
0101 (1).pdf     , 402 ,Judges     ,"Judges: Adams, Hunter, and Weis, Circuit Judges.  Adams, Circuit Judge, concurs. Weis, Circuit Judge, dissents."
0101 (1).pdf     , 402 ,Opinion by ,Opinion by: HUNTER
0101 (1).pdf     , 432 ,Opinion by ,Opinion by:  [*1]  HAIGHT
0101 (1).pdf     , 454 ,Counsel    ,"Counsel: Robert H. Jaffe for Appellants.
                                    
                                    
                                    Johnstone & O'Dwyer for Appellees."
0101 (1).pdf     , 454 ,Judges     ,"Judges: Van Dusen, Hunter and Weis, Circuit Judges."
0101 (1).pdf     , 454 ,Opinion by ,Opinion by: HUNTER
0101 (1).pdf     , 473 ,Counsel    ,"Counsel:  [**1]  Donald Warden, Roger C. Holmes, San Francisco, California, for plaintiffs.
                                    Michael I. Spiegel, Deputy Atty. Gen., State of California, San Francisco, California, for defendant.
                                    Mark I. Schickman, San Francisco, California, Stewart H. Foreman, Shartsis, Friesi & Niesar, San Francisco,
                                    California, for amicus curiae."
0101 (1).pdf     , 473 ,Judges     ,"Judges: Conti, District Judge."
0101 (1).pdf     , 473 ,Opinion by ,Opinion by: CONTI
0101 (1).pdf     , 484 ,Counsel    ,"Counsel: Crowe, Dunley, Thweatt, Swinford, Johnson & Burdick, by: Ben L. Burdick, Clyde A. Muchmore, Richard
                                    C. Ford, John J. Griffin, Jr., Oklahoma City, Oklahoma, for Appellees.
                                    Fellers, Snider, Blankenship & Bailey, by: James D. Fellers, John Joseph Snider, Oklahoma City, Oklahoma, for
                                    Appellants.
                                    Of"
0101 (1).pdf     , 484 ,Counsel    ,"Counsel: Swanson, Midgley, Gangwere, Thurlo & Clarke, by: George H. Gangwere, John J. Kitchin, Kansas
                                    City, Missouri.
                                    John Irvan Moritzky Choate, Sand Springs, Oklahoma, Amicus Curiae."
0101 (1).pdf     , 484 ,Judges     ,"Judges: Hodges, J., wrote the opinion.  Lavender, V.C.J., Davison, Williams, Irwin, Doolin, JJ., concur.  Berry,
                                    Barnes, Simms, JJ., dissent."
0101 (1).pdf     , 484 ,Opinion by ,Opinion by: HODGES
0101 (1).pdf     , 495 ,Counsel    ,"Counsel: Frank Gregory, M. David Riggs, Chapel, Wilsinson, Riggs, & Abney, Tulsa, Oklahoma, for Appellant.
                                    [***2]  Coleman Hayes, Oklahoma City, Oklahoma, for Appellee, Mead Foods, Inc."
0101 (1).pdf     , 495 ,Judges     ,"Judges: Lavender, C.J., wrote the opinion.  All of the Justices concur."
0101 (1).pdf     , 495 ,Opinion by ,Opinion by: LAVENDER
0101 (1).pdf     , 501 ,Counsel    ,"Counsel: Edwin P. Rome, Esquire, Roger F. Cox, Esdquire Blank, Rome, Klaus & Comisky, Philadelphia,
                                    Pennsylvania, Attorneys, for Appellant.
                                    J. Shane Creamer, Esquire Attorney, for Appellee, Bassett Furniture Industries, Inc.
                                    
                                    
                                    Ralph W. Brenner, Esq., Attorney, for Appellee, Bassett Mirror Co., Inc., of counsel, Kent S. Bernard, Esquire
                                    Montgomery, McCracken, Walker & Rhoads Three Parkway, Philadelphia, Pennsylvania."
0101 (1).pdf     , 501 ,Judges     ,"Judges: Seitz, Chief Judge, Aldisert and Gibbons, Circuit Judges. Seitz, Chief Judge, concurring and dissenting in
                                    part."
0101 (1).pdf     , 501 ,Opinion by ,Opinion by: GIBBONS
0101 (1).pdf     , 521 ,Counsel    ,"Counsel: Peter W. Billings (Albert J. Colton, Stanford B. Owen, and Peter W.  Billings, Jr., Salt Lake City, Utah,
                                    Peter J. Nickles, Eugene D. Gulland, Washington, District of Columbia, Willard P. Scott, Thomas R. Cochran, and
                                    William Heimann, Oklahoma City, Oklahoma, on the brief), Salt Lake City, Utah, for Defendants-Appellants.
                                    C. Keith Rooker (Richard W. Giauque, Salt Lake City, Utah, William D.  Hall and Kenneth L. King, Washington,
                                    District of Columbia, on the brief), Salt Lake City, Utah, for Plaintiff-Appellee."
0101 (1).pdf     , 521 ,Judges     ,"Judges: Hill, McWilliams and Barrett, United States Circuit Judges."
0101 (1).pdf     , 521 ,Opinion by ,Opinion by: HILL
0101 (1).pdf     , 531 ,Counsel    ,"Counsel:  [**1]  Stuart H. Savett, Esq., Philadelphia, Pennsylvania, For Plaintiff.
                                    S. David Fineman, Esq., Philadelphia, Pennsylvania, (For Kavaler & Liberty Subscription Agency) For Defendant."
0101 (1).pdf     , 531 ,Judges     ,"Judges: Broderick, Judge."
0101 (1).pdf     , 531 ,Opinion by ,Opinion by: BRODERICK
0101 (1).pdf     , 543 ,Counsel    ,"Counsel: Macdonald Flinn  argued the cause for petitioners.  With him on the briefs were Albert F. Reutlinger,
                                    William H. Buchanan,  and Norman Yoerg, Jr.
                                    Kenneth L. Anderson  argued the cause for respondent.  With him on the briefs was A. Scott Hamilton, Jr."
0101 (1).pdf     , 543 ,Judges     ,"Judges: Burger, Brennan, Stewart, White, Marshall, Blasckmun, Powell, Rehnquist, Stevens"
0101 (1).pdf     , 543 ,Opinion by ,Opinion by: STEVENS
0101 (1).pdf     , 555 ,Counsel    ,"Counsel:  [**1]  James E. Roark, Jeffrey A. Manning, Asst. U.S. Attys., Pittsburgh, Pennsylvania, for Government.
                                    Jon C. Botula, Robert C. Hillen, Thomas A. Livingston, James K. O'Malley, James A. Villanova, Charles F. Scarlata,
                                    Stanley W. Greenfield, John Dougherty, John W. Murtagh, Jr., Bernard McGinley, Anton W. Bigman, Pittsburgh,
                                    Pennsylvania, John Rogers Carroll, Philadelphia, Pennsylvania, for defendants."
0101 (1).pdf     , 555 ,Judges     ,"Judges: Dumbauld, District Judge."
0101 (1).pdf     , 555 ,Opinion by ,Opinion by: DUMBAULD
0101 (1).pdf     , 577 ,Counsel    ,"Counsel:  [*1]  Stewart L. Entz, 1000 First National Bank Building, Topeka, Kansas 66603 For Plaintiff's
                                    Charles S. Fisher, Jr., P.O. Box 1677, Topeka, Kansas 66601
                                    Hankamer Ready Mix, John Hankamer, Geraldine J. Rabe
                                    Michael D. Gordon, 1300 Traders National Bank Bldg., 1125 Grand Avenue, Kansas City, Missouri 64106
                                    Elwaine F. Pomeroy, 1415 Topeka, Topeka, Kansas 66612
                                    Gibson Langsdale, 6245 Brookside Blvd., Kansas City, Missouri 64113
                                    John J. Blake, 374 New Brotherhood Building, Kansas City, Kansas 66101
                                    John J. Manning, 3333 Warwick, Kansas City, Missouri 64111
                                    Robert J. Reinhold, Argyle Building, Kansas City, Missouri 64106
                                    Bricklayers and Masons Local No. 3, Savage, Michael and Morris
                                    George D. Wagstaff, 101 West 6th Street, Topeka, Kansas 66603
                                    Bricklayers had Masons Local No. 3, Savage, Michael and Morris
                                    Robert L. Kimbrough, 631 S.E. 35th St. Terr., Topeka, Kansas 66605
                                    International Brotherhood of Boilemak Iron Ship Builders, Blacksmiths No. 83 Berry, Dill, Horseman
                                    John Humpage, 314 West 7th Street, Topeka, Kansas 66603
                                    Laborers International Union of North America
                                    Timothy Evans, 288 New Brotherhood Building, Kansas City, Kansas 66101
                                    International Union [*2]  of Operating Engi Local Union No. 101
                                    Myron L. Listrom, 714 Capitol Federal Building, Topeka, Kansas 66603
                                    W.L. ""Dean"" Parker
                                    James G. Walsh, Jr., 1300 Traders National Bank Building, 1125 Grand Avenue, Kansas City, Missouri 64106
                                    International Brotherhood of Teamster Chauffeurs, Warehousemen and Helpers America
                                    George E. Erickson, Jr. and Gary Peterson, 420 West 33rd Street, Topeka, Kansas 66611
                                    Hankamer Ready Mix Concrete Co. John L. Hankamer, Geraldine Rabe For Defendants"
0101 (1).pdf     , 578 ,Opinion by ,Opinion by: ROGERS
0101 (1).pdf     , 599 ,Opinion by ,Opinion by:  [*1]  PARSONS
0101 (1).pdf     , 626 ,Opinion by ,Opinion by:  [*1]  DUFFY
0101 (1).pdf     , 640 ,Counsel    ,"Counsel:  [**1]  Boris Shapiro, Esq., Philadelphia, Pennsylvania, For Plaintiff.
                                    Henry Kolowrat, Esq., Philadelphia, Pennsylvania, For Defendant."
0101 (1).pdf     , 640 ,Judges     ,"Judges: Troutman, J."
0101 (1).pdf     , 640 ,Opinion by ,Opinion by: TROUTMAN
0101 (1).pdf     , 645 ,Counsel    ,"Counsel:  [*1]  Richard D. Grauer, Michael O. Sutton, and Cullen, Settle, Sloman & Cantor, P.C., all of Detroit,
                                    Mich., for plaintiffs.
                                    George B. Newitt, Jon O. Nelson, and Allegretti, Newitt, Witcoff & MacAndrews, all of Chicago, Ill., for defendant."
0101 (1).pdf     , 645 ,Opinion by ,Opinion by: KENNEDY
0101 (1).pdf     , 653 ,Counsel    ,"Counsel:  [**1]  Lee Loevinger, with whom Martin Michaelson, James H. Sneed and Janet L. McDavid were on the
                                    brief, for Appellant.
                                    Robert B. Nicholson, Attorney, Department of Justice was on the brief, for Appellee. Laurence K.  Gustafson,
                                    Attorney, Department of Justice also entered an appearance for Appellee."
0101 (1).pdf     , 653 ,Judges     ,"Judges: Wright, Tamm and Leventhal, Circuit Judges."
0101 (1).pdf     , 653 ,Opinion by ,Opinion by: LEVENTHAL
0101 (1).pdf     , 659 ,Counsel    ,"Counsel: David G. Davies, Arter & Hadden, Cleveland, Ohio
                                    Brian W. FitzSimons for Appellant.
                                    Donald Jaffe, Roemisch & Wright, Cleveland, Ohio, for Appellee."
0101 (1).pdf     , 659 ,Judges     ,"Judges: Celebrezze, Lively and Engel, Circuit Judges."
0101 (1).pdf     , 659 ,Opinion by ,Opinion by: PER CURIAM
0101 (1).pdf     , 662 ,Counsel    ,"Counsel:  [**1]  Roy S. Lilley, TA, Lea, Lilley & Brainis, Metairie, Louisiana, For Plaintiff.
                                    Lemle, Kelleher, Kohlmeyer & Matthews, Harry B. Kelleher, Esq., New Orleans, Louisiana, (For U.S. Life Title Ins.
                                    Co.).
                                    Jones, Walker, Waechter, Poitevent, Carrere & Denegre - Raymond J. Salassi, Jr., New Orleans, Louisiana, (For
                                    Peninsular Title Ins.)
                                    Patrick C. Leitz, Esq., Metairie, Louisiana, (For Anthony Taormina), For Defendants."
0101 (1).pdf     , 662 ,Judges     ,"Judges:  Rubin, J."
0101 (1).pdf     , 662 ,Opinion by ,Opinion by: RUBIN
0101 (1).pdf     , 668 ,Counsel    ,"Counsel:  [**1]  C. Edwin Allman & Richard B. Howington, Winston-Salem, North Carolina, For Plaintiffs.
                                    John J. McKay, Jr., and William Kearns Davis, Greenville, South Carolina, Winston-Salem, North Carolina, For
                                    Petro-Wash and Automatic Car Washington.
                                    William R. Slye, New York, New York and Norwood Robinson and George Little, Winston-Salem, North Carolina,
                                    for Texaco, Inc. For Defendant."
0101 (1).pdf     , 669 ,Judges     ,"Judges: Gordon, Chief Judge."
0101 (1).pdf     , 669 ,Opinion by ,Opinion by: GORDON
0101 (1).pdf     , 677 ,Counsel    ,"Counsel:  [**1]  Frederick Knecht, Jr., Esquire, of Knecht, Greenstein & Berkowitz, Wilmington, Delaware, Arnold
                                    Levin, Esquire, and Gordon Gelfond, Esquire, of Adler, Barish, Daniels, Levin and Creskoff, Philadelphia,
                                    Pennsylvania, Attorneys for Plaintiffs.
                                    David A. Eastburn, Esquire, Wilmington, Delaware, Attorney for Defendant Artisans Savings Bank.
                                    Rodney M. Layton, Esquire, and Wendell Fenton, Esquire, of Richards, Layton & Finger, Wilmington, Delaware,
                                    Attorneys for Defendants Wilmington Trust Company and Sussex Trust Company.
                                    Charles F. Richards, Jr., Esquire, and Stephen E. Herrmann, Esquire, of Richards, Layton & Finger, Wilmington,
                                    Delaware, Attorneys for Defendants Farmers Bank of the State of Delaware and Colonial National Bank.
                                    David S. Keil, Esquire, of Keil & Keil, Wilmington, Delaware, and Joseph S. Flowers, Esquire, Wilmington,
                                    Delaware, Attorneys for Defendant Home Federal Savings and Loan Association.
                                    James M. Tunnell, Jr., Esquire, William H. Sudell, Jr., Esquire, and Richard D. Allen, Esquire, of Morris, Nichols,
                                    Arsht & Tunnell, Wilmington, Delaware, Attorneys for Defendant Wilmington Savings Fund Society.
                                    Frank J. Miller, Esquire, of Miller & Foulk, Wilmington, Delaware,  [**2]  Attorney for Defendant First Federal
                                    Savings and Loan Association.
                                    Robert V. Huber, Esquire, Wilmington, Delaware, Attorney for Defendant Ninth Ward Savings and Loan
                                    Association."
0101 (1).pdf     , 678 ,Judges     ,"Judges: Stapleton, District Judge."
0101 (1).pdf     , 678 ,Opinion by ,Opinion by: STAPLETON
0101 (1).pdf     , 686 ,Judges     ,"Judges:  [**1]  Larson, D.J."
0101 (1).pdf     , 686 ,Opinion by ,Opinion by: LARSON
0101 (1).pdf     , 692 ,Counsel    ,"Counsel:  [**1]  John R. Gavin, Robert W. McFate, Oil City, Pennsylvania, for plaintiff.
                                    John G. Gent, Erie, Pennsylvania, for defendants."
