­¶½X,¤º®e
194,"Counsel: Benjamin Rodriguez-Ramon, Jerome Murray, Robert G. Post, John Norcera, and Rodriguez-Ramon, 
Pena & Cancio, for Appellant.
Wayne A. Cross, Robert L. Sills, William I. Sussman, William Dunnegan, Reboul, MacMurray, Hewitt, Maynard & 
Kristol, Samuel T. Cespedes, Ana Matilde Nin, and McConnell Valdes Kelley Sifre Griggs & Ruiz-Suria, for 
Appellee.
William F. Baxter, Assistant Attorney General, Robert B. Nicholson, Attorney, Marion L. Jetton, Attorney, United 
States Department of Justice, Harold G. Maier, Counselor on International Law, and Robert K. German, Attorney, 
Office of Legal Advisor, Department of State, on brief Amicus Curiae, United States."
194,"Judges: Campbell, Chief Judge, Coffin and Bownes, Circuit Judges."
194,Opinion by: COFFIN
211,"Counsel: Donald B. Gould, Kenneth A. Cohen, Jonathan P. Feltner, Andrew S. Hogeland, and Goodwin, Procter & 
Hoar, for Appellant. 
Joseph J. O'Malley, Norman A. Dupont, Paul, Hastings, Janofsky & Walker, John A. Nadas, and Choate, Hall & 
Stewart, for Appellee Pacific Scientific Company."
211,"Judges: Campbell, Chief Judge, Skelton, * Senior Circuit Judge, and Breyer, Circuit Judge."
211,Opinion by: BREYER
226,"Counsel: John R. Hally, P.C., William H. Baker, Neil P. Motenko, and Nutter, McClennen & Fish, for Appellants. 
William F. Baxter, Assistant Attorney General, Wayne D. Collins, Deputy Assistant Attorney General, Barry 
Grossman, Department of Justice, and William J. Roberts, Department of Justice, for the United States of America, 
Amicus Curiae. 
Timothy J. Dacey, with whom Gael Mahony, Richard S. Boskey, and Hill & Barlow, for Appellee."
226,"Judges: Campbell, Chief Judge, Rosenn, * Senior Circuit Judge, and Bownes, Circuit Judge."
226,Opinion by: CAMPBELL
244,"Counsel: Daniel O. Mahoney, Douglas H. Wilkins, Arthur P. Kreiger, Palmer & Dodge, and Reginald H. Howe, for 
Blue Shield of Massachusetts, Inc., et al. 
Helen E. Witt, James W. Rankin, Jack A. Rovner, Kirkland & Ellis, Marvin C. Reiter, Mary Ader, for Blue Cross and 
Blue Shield Association, Amicus Curiae. 
John R. Phillips, and Richard B. Rogers, for Ford Motor Company, Amicus Curiae. 
H. Reed Witherby, Assistant Attorney General, Government Bureau, Francis X. Bellotti, Attorney General, and 
Donna Arzt, Assistant Attorney General, Public Protection Bureau, for Massachusetts Commissioner of Insurance. 
Thayer Fremont-Smith, Kenneth Laurence, Lee T. Gesmer, Michael K. Loucks, and Choate, Hall & Stewart, for 
Massachusetts Medical Society, et al. 
Kirk B. Johnson, B. J. Anderson, American Medical Association, Newton N. Minow, Jack R. Bierig, Jeffrey R. Tone, 
James C. Dechene, and Sidley & Austin, for American Medical Association, Amicus Curiae. 
Catherine W. Hantzis, for Consumer Health Advocates, Inc., Amicus Curiae. 
James vanR. Springer,  [**2]  Dickstein, Shapiro & Morin, Stanley V. Ragalevsky, Christopher E. Nolin, and Warner 
& Stackpole, for James P. Kartell, M.D., et al."
244,"Judges: Campbell, Chief Judge, Cowen, * Senior Circuit Judge, and Breyer, Circuit Judge."
244,"Opinion by: BREYER 
* Of the U.S. Court of Appeals for the Federal Circuit, sitting by designation."""
264,"Counsel: Celso E. Lopez, with whom Carlos F. Lopez, was on brief, for Appellant. 
Max K. Jamison, with whom Alvaro R. Calderon, Jr., and Calderon, Rosa-Silva & Vargas, were on brief, for 
Appellees."
264,"Judges: Coffin and Bownes, Circuit Judges, and Selya, * District Judge."
264,Opinion by: BOWNES
297,"Counsel: Jack Brown, with whom Lawrence G.D. Scarborough, Bonnie P. Tucker, Victoria S. Lewis, Brown & Bain, 
P.A., Philip M. Cronin, Roger D. Matthews, Devra G. Bailin, Withington, Cross, Park & Groden, and Charles H. 
Resnick, were on brief for Appellant. 
Blair L. Perry, with whom Hale and Dorr, was on brief for Appellees."
297,"Judges: Coffin and Torruella, Circuit Judges, and Re, * Judge."
297,Opinion by: RE
312,"Counsel: Joseph M. Alioto and Daniel R. Schulman with whom Gray, Plant, Mooty, Mooty & Bennett, Alioto & 
Alioto, Jerry Cohen, Cohen & Burg and Joseph S. Iandiorio were on briefs for Robert B. Turner, et al. 
Frederick T. Davis with whom Lynn P. Freedman, Howard S. Schrader, Riemer & Braunstein and Patterson, 
Belknap, Webb & Tyler were on brief for Johnson & Johnson and Charles M. Hartman."
312,"Judges: Coffin, Circuit Judge, Wisdom * and Aldrich, Senior Circuit Judges."
312,Opinion by: COFFIN
326,"Counsel: James C. Burling with whom Richard J. Innis, Mark G. Matuschak and Hale and Dorr were on brief for 
Appellant. 
Allyn O. Kreps, William T. Drescher and Jones, Day, Reavis & Pogue on brief for Air Transport Association of 
America, Amicus Curiae. 
Scott P. Lewis with whom Thane D. Scott, Anne L. Gero, Palmer & Dodge and Richard J. Lettieri, Massachusetts 
Port Authority, were on brief for Appellee."
326,"Judges: Coffin, Breyer and Torruella, Circuit Judges."
326,Opinion by: BREYER
337,"Counsel: Richard S. Harrell with whom Ronald E. Harding and Weston, Patrick, Willard & Redding, P.A. were on 
brief for Appellant. 
John J. Curtin, Jr., with whom William G. Southard, Jody E. Forchheimer, Eve Jacobs-Carnahan, Bingham, Dana & 
Gould, John M. Harrington, Jr., Thomas H. Hannigan, Jr., Ropes & Gray, Alan R. Hoffman, M. Eric Schoenberg, 
Lynch, Brewer, Hoffman & Sands, Mark W. Pearlstein, Goodwin, Procter & Hoar, Henry P. Sailer, Elizabeth Foote, 
Covington & Burling, John F. Tener, Theodore Tucci and Robinson & Cole were on brief for Appellees. 
Andrew M. Higgins and Casner, Edwards & Roseman on brief for Appellee American Brass & Iron Foundry."
337,"Judges: Campbell, Chief Judge, Breyer and Selya, Circuit Judges."
337,Opinion by: BREYER
350,"Counsel: Harry Anduze Montano on brief for Appellant. 
David P. Freedman, Edgar Cartagena-Santiago, Jorge I. Peirats, and O'Neill & Borges on brief, for Appellees."
350,"Judges: Campbell, Chief Judge, Coffin and Selya, Circuit Judges."
350,Opinion by: PER CURIAM
355,"Counsel: Harold E. Magnuson (antitrust issues) and John W. Barto (attorneys' fees) with whom Martin, Magnuson, 
McCarthy & Kenney and Barto and Puffer, P.A., were on brief for Appellant. 
Jay N. Varon with whom Dennis A. Henigan, Denise T. DiPersio, Foley & Lardner, Howard B. Myers and Myers, 
Jordan & Duffy were on brief for Appellee."
355,"Judges: Coffin, Breyer and Selya, Circuit Judges."
356,Opinion by: BREYER
