Case Index,Core Terms
Case 74,"propranolol, generic, pharmacists, post-MI, Lanham Act, dispense, monopolization, summary judgment, antitrust, 
motion to dismiss, indications, Sherman Act, manufacturers, monopoly, anti trust law, matter of law, advertising, 
lack standing, pharmaceutical, substitution, deceptive, pleadings, labeling, damages, factors, matters, patient, 
drugs, sales, anticompetitive conduct"
Case 75,"ice cream, distributor, termination, summary judgment, products, brands, summary judgment motion, cause of 
action, parties, relevant market, manufacturers, antitrust, genuine, monopoly power, conspiracy, distribute, 
geographic, interbrand, dealer, material fact, Sherman Act, customers, marketing, compete, retail, cases, alleged 
conspiracy, antitrust claim, anti trust law, allegations"
Case 76,"contracts, subscribers, healthcare services, district court, chiropractors, state action doctrine, provider, chiropractic, 
monopolize, insurance business, McCarran-Ferguson Act, insured, contacts, group boycott, allegations, 
supervision, antitrust, factors, osteopathic physician, hospital service, Sherman Act, summary judgment motion, 
personal jurisdiction, healthcare, participating, coverage, boycott, exempt, physicians and surgeons, surgical 
services"
Case 77,"shopping center, lease, restrictive covenant, supermarket, market share, premises, geographic, monopoly, tenants, 
monopolization, preliminary injunction, Fresh, probability of success, probability, departure, covenant, food, 
consumers, interstate commerce, deposition, memorandum, Sherman Act, imminent, markets, concerted action, 
anticompetitive, distance, argues, occupy, irreparable injury"
Case 78,"lighting, immune, outdoor, rates, supervised, state action doctrine, regulation, state action, monopolization, 
electricity, motor carrier, antitrust, public utility, leased, plaintiffs', compulsion, regulatory agency, rate charged, state 
policy, ratemaking"
Case 79,"dealers, summary judgment, termination, district court, discovery, attorney's fees, fraudulent, genuine issue, 
conspiracy, dealership, antitrust, warranty claim, good faith, Sherman Act, anticompetitive, manufacturer, replace, 
intimidation, franchise, amended complaint, antitrust claim, coercion, restrain, alleges, argues, contract claim, 
ambiguous, promise"
Case 80,"radiology, termination, conspiracy, alleges, by-laws, privileges, staff privileges, medical staff, monopolize, revoke, 
tying arrangement, regulations, antitrust, business relationship, conspired, patients, employment contract, licensed, 
tortious interference, public policy, concerted, reasons, recommendation, contracts, employees, annual, staff, 
defamatory statement, defendants', commerce"
Case 81,"couplings, prices, products, pipe, firms, competitors, practices, hubless, costs, price list, specification, 
anticompetitive, district court, certifying, advertisement, charges, anti trust law, low price, predatory, consists, 
standard-setting, interdependent, monopolization, manufacturers, unlawfully, antitrust, trademark, benefits, helps, 
sales"
Case 82,"lawmaking, Sentencing, courts, delegation, guidelines, powers, sentencing guidelines, Parole, judicial branch, 
decisions, substantive law, separation-of-powers, sentencing decision, executive branch, fashioning, regulation, 
forbidden, functions, branch of government, initiative, rulemaking, cases, legislative power, characterization, 
cooperative, placement, agencies, delegation of authority, decisionmaking, challenges"
Case 83,"Regions, blood, competitors, allegations, group boycott, Sherman Act, conspiracy, suppliers, monopolize, 
conspiring, purchaser, horizontal, amended complaint, screening, summary judgment, motion to dismiss, 
transfusion, Counts, concerted, tests, conspiracy to monopolize, tortious interference, plaintiff's claim, anti trust law, 
blood supply, contracted, specific intent, Clayton Act, vertical, entity"
Case 84,"district court, enjoin, unfair competition, injunctive relief, preliminary injunction, antitrust, preliminary injunctive relief, 
injunction, merits, common law claim, present case, provisions, criminal prosecution, fail to demonstrate, irreparable 
harm, parties, courts"
Case 85,"corn, products, industrial, dry, acquisition, geographic, markets, percent, ships, concentration, producers, 
preliminary relief, competitors, customers, merger, FTC Act, shipments, grits, firms, rescission, Consumer, merits, 
preliminary injunction, HSR Act, memorandum, parties, Grain, four-firm, food, consummated"
Case 86,"distributors, summary judgment, engineered, terminated, quotation, manufacturer, Sherman Act, vertical, prices, 
siding, Counts, partial summary judgment, Resistant, antitrust, products, dealer, metal, summary judgment motion, 
defense motion, unit price, lump sum, Corrosion, genuine, roofing, new construction, material fact, conspiracy, 
panels"
Case 87,"manufacturer, ice cream, distributors, products, market power, sales, Sherman Act, frozen food, termination, 
vertical, effects, unreasonable restraint, summary judgment, rule of reason, market share, defendants', competitor, 
retailers, asserts, genuine, prices, summary judgment motion, anti trust law, anticompetitive, nonprice, unfair"
Case 88,"upgrades, prices, installation, large scale, mainframes, leasing company, relevant market, warranty, machines, 
percent, conversion, customers, products, economic power, technology, cycle, fabrication, memory, buyers, market 
power, tying product, estimates, compete, seller, costs, third party, manufacturing, calculation, contends, export"
Case 89,"distributors, termination, arbitration, contracts, newspaper, injunction, antitrust, preliminary injunction, merits, 
equitable relief, anti trust law, independent distributor, agency contract, monetary relief, publisher, percent, retail"
Case 90,"buyer, prudent, subscribers, damages, coverage, contractual relationship, estimated, participating, antitrust claim, 
anti trust law, Sherman Act, marketing, anticompetitive, enrollment, market share, contracts, market power, antitrust 
violation, healthcare, non-participating, rates, competitors, resigned, Pools, compensatory damages, financing, 
relevant market, monopoly power, profits, costs"
Case 91,"advertisements, commercial speech, Lawsuit, Crisis, misleading, consumers, pamphlets, advertising campaign, 
insurance industry, insurance company, deceptive, commercial transaction, false advertising, deceptive act, 
noncommercial, manufactured, plaintiffs', motivation, practices, conveys, damages, vaccine, awards, polio"
Case 92,"diversity jurisdiction, enterprise, employees, vacate, principal place of business, reconsideration motion, allegations, 
antitrust, district court, racketeering, subsidiaries"
Case 93,"distributor, manufacturer, Anti-Trust, restraint of trade, conspiracy, distributorship, anticompetitive, vertical, 
elimination, interbrand, intrabrand, machinery, terminated, substitution, allegations, district court, horizontal, rule of 
reason, supplier, anti trust law, jilted, competitor, illegality, exclusive distributor, distributing, territorial, conspired, 
products, rights, Beer"
Case 94,"conspiracy, medical staff, executive committee, district court, exemption, credentials, privileges, decisions, staff 
privileges, revoke, directed verdict, supervision, antitrust, grounds, courts, judicial review, recommendation, 
reappointment, involvement, staff member, peer review, state action, community-wide, conspiring, elevation, 
Sherman Act, regulation, voted, concerted action, medical society"
Case 95,"advertising, relevant market, anticompetitive, competitor, alleges, products, travel, compete, antitrust, endorsed, 
essential facilities doctrine, monopolization, homeowners"
Case 96,"local government, board of trustees, ad hoc committee, district court, immunity, by-laws, Staff, medical staff, 
damages, official capacity, emergency room, Antitrust, discovery, renewed, appointed, injunctive relief, employees, 
recommend, argues, entitled to immunity, government official, motion to amend, supervision, conspiracy, amend, 
summary judgment motion, grant summary judgment, summary judgment, antitrust suit, damage suit"
Case 97,"monopoly power, leverage, theatres, films, anti trust law, counterclaim, monopoly, Sherman Act, antitrust"
Case 98,"suppliers, retailers, business relationship, oxygen, automotive parts, summary judgment, district court, conspiracy, 
terminate, antitrust, correctly, customers, independent action, do business, Sherman Act, concerted, vertical, 
reasons, anti trust law, genuine issue, competitors, complaints, cylinders, inventory, averaged, merchant, selling, 
nonmoving party, specific facts, conscious"
Case 99,"customers, notice, contracts, class action, class certification, plaintiffs', relevant market, parties, antitrust, 
monopolization, predominance, class member, voidable contract, region, cases, void, member of the class, 
discovery, omissions, damages, pendent, merits, individual notice, contract law, misrepresentations, users, named 
plaintiff, pendent claim, certification, phone service"
Case 100,"Electric, personal jurisdiction, subcontracts, district court, negotiations, antitrust, contacts, long-arm, minimum 
contact, forum state, violations, tortious"
