Case Index,Core Terms
Case 50,"prices, jobbers, summary judgment, stations, plaintiffs', gasoline, fuel, dealers, trial court, contracts, relevant 
market, reasons, unfair, antitrust claim, defense motion, motor fuel, wholesalers, antitrust, retailers, selling, 
summary judgment motion, violations, compete, price discrimination, non-antitrust, supervisory, commodity, 
deceptive, contends, leased"
Case 51,"patients, referral, neurological, summary judgment, defendants', conspiracy, neurologist, antitrust, contractual 
relationship, interpretations, indigent, defamed, deVries, parties, motive, impressions, interfered, physical therapist, 
consultation, discovery, alleges, genuine, reasons, argues, intentional interference, conditional privilege, tortious 
interference, exclusive right, nonmoving party, material fact"
Case 52,"press release, counterclaims, pleadings, probable cause, infringement, matter of law, promotion, alleges, instant 
case, Lanham Act, sanctions, recusal, oil, commercial speech, baseless, immunity, sham, malicious prosecution 
claim, commercial advertising, malicious prosecution, motion to dismiss, trade dress, advertising, trademark, 
products, parties, directed verdict, articulated, contends, lawsuit"
Case 53,"distributor, antitrust, prices, antitrust violation, damages, terminated, competitor, products, anti trust law, 
intermediary, manufacturer, conspiracy, piping, motion to dismiss, defendants', elimination, merger, remote"
Case 54,"antitrust, Redevelopment, electricity, electric service, certificate, anti trust law, district court, damages, retail, 
Clayton Act, regulated, proposed merger, lessen, causal connection, injunctive relief, electric utility, antitrust 
violation, Sherman Act, allegations, defendants', merger, rates, motion to dismiss, speculative, monopolies, 
compete, bids, anticompetitive, proceedings, permission"
Case 55,"indictment, transportation, exemption, immunity, ocean, common carrier, Shipping, guilty plea, carriers, inland, 
defendants', shipments, foreign country, military, segment, motion to dismiss, argues, anti trust law, legislative 
history, motor carrier, plain meaning, prosecute, forwarders, appears, waived, writ of error coram nobis, selective 
prosecution, antitrust liability, antitrust immunity, household goods"
Case 56,"relevant market, regional, delivery, pricing, customers, carriers, shipping, market power, antitrust, market share, 
contracts, barrier, predatory, competitors, summary judgment, argues, monopoly, density, deregulation, genuine 
issue, small package, options, Parcel, intrastate, genuine issue of material fact, monopoly power, packages, 
predator, anti trust law, trucking"
Case 57,"patent, trade secret, liquid, smoke, divulged, trade secret protection, refinements, disclosure, manufacturing, 
preemption, summary judgment, damages, secret, judicial estoppel, material fact, defendants', misappropriation, 
non-disclosure, slip opinion, loyalty, summary judgment motion, unfair competition, confidential, non-compete, 
injunction, technology, courts, permanent injunction, employees, settlement agreement"
Case 58,"sham exception, baseless, misrepresentations, entities, lobbying, kidney, anticompetitive, dialysis, sham, 
allegations, antitrust, advocacy, lawsuit, branch of government, petitioning, administrative agency, proceedings"
Case 59,"reasonable cause, exempt, radio station, Antitrust, district court, advertising, attorney general, probable cause, 
regulated, anti trust law, public utility, Broadcasting, plaintiffs', station, antitrust violation, narrowly, courts, subject to 
regulation, investigator, radio, written order, anticompetitive, provisions, initiated, articles, merchant, prices"
Case 60,"territories, transmission, abstention, parties, summary judgment, electric power, genuine, Energy, state action 
doctrine, electric service, declaratory, antitrust, customers, immune, summary judgment motion, statutory language, 
additional time, high voltage, state policy, third party, articulated, electricity, generates, Wheeling, assigned, 
displace, resisted, powers, retail, Steel"
Case 61,"prices, gasoline, costs, predatory, crude oil, district court, below-cost, summary judgment, rack, price discrimination, 
wholesale, stations, variable, marginal cost, measures, retail, market power, recoupment, sales, material fact, 
market price, competitors, marketers, output, antitrust, producing, expert testimony, law of the case, 
supracompetitive, discovery"
Case 62,"integrated, operating system, products, functionalities, district court, software, consent decree, Internet, markets, 
anti trust law, browser, preliminary injunction, contempt, decree, technological, license, Explorer, benefits, parties, 
injunction, combining, proviso, install, mandamus, courts, user, suggests, clarification, purchasers, antitrust"
Case 63,"price discrimination, amended complaint, Robinson-Patman Act, purchasers, customers, allegations, secondary-
line, Sherman Act, antitrust, commerce, differential, primary-line, competitor, commodity, cases, discounts, terms, 
anti trust law, Clayton Act, discriminate, competed, competitive injury, prohibitions, dealerships, facilities, pricing, 
repair"
Case 64,"district court, third-party, dealers, removal, customer, truck, contends, price discrimination, summary judgment, 
antitrust claim, federal court, state law, Robinson-Patman Act, federal question, cause of action, state court, 
predominates, designation, purchasers, deadline, Sales, pendent state law claims, antitrust"
Case 65,"aircraft, argues, plane, modified, modification, summary judgment, relevant market, single-pilot, inspections, market 
power, jets, service center, monopoly, jet aircraft, installation, manufacturer, effects, phase, sales, damages, 
antitrust, providers, antitrust claim, issuance, anti-competitive, monopoly power, upgrades, pilot, injunctive relief, 
purchasers"
Case 66,"Furniture, summary judgment, manufacturer, terminate, distributors, gallery, Sherman Act, customer, concerted 
action, prices, sufficient evidence, set price, complaints, products, display, breach of contract, antitrust, nonmoving 
party, Deposition, Memorandum, dealer, margin, accomplish, conspiracy, inducement, concerted, reasons"
Case 67,"privileges, antitrust, surgical, patients, antitrust claim, revocation, injuries, surgery, staff, anti trust law, causation, 
peer review process, Sherman Act, cardiovascular, defendants', alleges, revoke, partnership, suspended, 
terminate, monopolization, summary judgment motion, cardiac, damages, conspiracy, conspired, lawsuit, courts, 
Authorities, recommended"
Case 68,"Plaintiffs', Funds, Defendants', damages, smoking, cigarettes, smokers, medical expenses, antitrust, proximate 
cause, circuit court, remote, tobacco, unjust enrichment, instant case, smoking-related, contributions, illnesses, 
injuries, antitrust claim, medical costs, common law, addictiveness, tortfeasor, costs, common law tort claim, motion 
to dismiss, tobacco company, tobacco product, third party"
Case 69,"transmissions, racing, track, oval, plaintiffs', summary judgment, market power, anticompetitive, sanctioned, 
antitrust, effects, racers, intentional interference, adverse effect, detrimental effect, cause of action, manufacturers, 
technological, predominant, rule-making, deposition, injure"
Case 70,"expulsion, balancing, Sherman Act, Antitrust, membership, allegations, preliminary injunction, rule of reason, 
competitor, Burners, model code, testing, anti trust law, contractors, conspiracy, courts, merits, cases, restraint of 
trade, anticompetitive, complaints, probation, firms, compete, reasons, argues, trade association, market power, per 
se rule, completion"
Case 71,"gyn, anesthesiologist, labor and delivery, anesthesiology, anesthesia, rule of reason, defendants', plaintiffs', 
scheduling, patients, anticompetitive, boycott, shifts, cases, summary judgment, per se rule, obstetric, individual 
defendant, anti trust law, horizontal, group boycott, rotation, on call, privileges, concerted, market conditions, per se 
violation, staff privileges, Sherman Act, procompetitive"
Case 72,"district court, allegations, discovery, advertising, commerce, subject matter jurisdiction, subsidiary, Sherman Act, 
facilities, broadcast, monopolization, competitor, argues, radio, Counts, amend, second amended complaint, 
personal jurisdiction, solicitation, antitrust, lack of personal jurisdiction, leave to amend, monopolist, export, import, 
cases, abuse of discretion, relevant market, deny leave, circumstances"
Case 73,"telephonic, consumer, seller, redress, federal government, restitution"
Case 74,"Clinic, damages, markets, prices, injunction, estimate, patient, Clayton Act, conspiracy, costs, attorney's fees, 
district judge, price charged, market share, antitrust, customers, providers, output, competitors, percent"
Case 75,"customers, relevant market, antitrust, warranty, aftermarket, computer equipment, extended warranty, Sherman 
Act, derivative, mandatory, monopoly, bundling, products, purposes, copiers"
Case 76,"advertising, packaged goods, allegations, relevant market, coupons, antitrust, provide a service, conjunction, 
consumers, contracts, related items, placement, distributing, monopoly, publish, space, prospective economic 
advantage, motion to dismiss, anti trust law, anticompetitive, interchangeable, leveraging, newspapers, products, 
harmed, contractual relationship, exclusive contract, antitrust claim, Sherman Act, substitutes"
Case 77,"floor mat, consumers, manufacturers, dealers, standard equipment, mats, Cartwright Act, dealerships, tying 
arrangement, new car, competitors, antitrust, customers, supplier, package, sound system, products, percent, 
luxury, color"
Case 78,"prices, predominant purpose, district court, competitor, injure"
Case 79,"patent, prior art, invention, oral testimony, infringement, antitrust, defendants', invalidity, summary judgment motion, 
abuse of process, summary judgment, antitrust claim, corroboration, cause of action, matter of law, trade libel, 
continuation, challenges, convincing, damages, on-sale"
Case 80,"network, glass, shops, conspiracy, Defendants', policyholder, summary judgment, monopolize, antitrust, repair, 
insurer, affiliate, vertical, referrals, contracts, customer, exhibits, buyer, tortious interference, sufficient evidence, 
alleged conspiracy, concerted action, horizontal, conspire, seller, restraint of trade, insurance company, Sherman 
Act, circumstantial, demonstrates"
Case 81,"plaintiffs', software, summary judgment motion, summary judgment, end user, infringement, relevant market, 
counterclaims, manufacturers, entitled to summary judgment, defense motion, copying, prices, matter of law, 
antitrust, license, reasons, genuine issue of material fact, partial summary judgment, argues, patent, antitrust claim, 
Sherman Act, monopolization, allegations, contends, copyright infringement, customers, proprietary, consumers"
Case 82,"engines, discount, market share, pricing, manufacturers, programs, boat, calculation, argues, drive, anticompetitive, 
present value, dealers, Marine, stern, Plaintiffs', purchases, antitrust, damages, percent, hypothetical, competitors, 
inboard, relevant market, Sherman Act, overcharge, volume, matter of law, new trial, contracts"
Case 83,"settlement agreement, municipalities, facilities, plants, interstate commerce, solid waste, disposal, haulers, 
contracts, commission of waste, plaintiffs', antitrust, general assembly, waste-to-energy, regulation, market 
participant, processing, landfills, deliveries, commerce, exempt, state action, out-of-state, resources, solid waste 
management, Sherman Act, anticompetitive, environmental protection, anti trust law, waste disposal"
Case 84,"defendants', antitrust, damages, soccer, coaches, players, matter of law, Sherman Act, conspiracy, relevant market, 
per se violation, group boycott, violations, amateur, Sports, rights"
Case 85,"Brokers, Funds, repo, liquidation, alleges, transactions, bearish, bullish, interest rate, portfolios, pari delicto, 
inappropriate, parties, contracts, motion to dismiss, tortious interference, misrepresentation, seller, breach of 
fiduciary duty, contractual, mortgage, representations, breached, buyer, secured loan, good faith, broker-dealers, 
purchases, unjust enrichment, collateralized"
Case 86,"distributors, foodservice, customers, soft drink, fountain-dispensed, products, monopolization, alleges, relevant 
market, distributed, submarket, delivery, fountain, supplies, sales, restaurant, chains, consumers, manufacturer, 
antitrust, syrup, substitutes, motion to dismiss, purchasers, monopoly, segment, buyers, merger, anti trust law, 
interchangeable"
Case 87,"antitrust, milk, prices, dairies, price-fixing, anti trust law, sufficient evidence, district court, grocery store, conspiracy, 
raw milk, regulated, alleged conspiracy, injury in fact, deposition, summary judgment, fail to produce, no application, 
dairy company, distributor, purchases, products, changes, damages, courts, limits"
Case 88,"immunity, exclusive contract, foreseeable, hospital service, hospital district, district court, anticompetitive, antitrust, 
anticompetitive conduct, surgical care, Sherman Act, practices, providers, plans"
Case 89,"anti-competitive, Trusts, loans, defendants', summary judgment, tying arrangement, purchases, parties, banking, 
transactions, practices, entities, state law, obligations, conspiracy, defaulted, funds, summary judgment motion, 
bank holding company, conditioned, plaintiffs', conspiring, customer, challenged transaction, affiliates, lessen 
competition, misappropriate, participated, genuine, denies"
Case 90,"customers, defendants', prices, manufacturers, diagnostic, summary judgment, machines, market power, relevant 
market, automotive, monopolization, repair, costs, monopoly, supracompetitive, aftermarket, anti trust law, brand, 
switching, policies, practices, products, anticompetitive, plaintiffs', locked, Counts, circuit board, imperfections, 
antitrust, external"
Case 91,"channels, broadcast, television, tied product, competitors, customers, commodity, cable, tying arrangement, 
satellite, Cartwright Act, appellants', antitrust, trial court, first amended complaint, cable television, tying product, 
airwaves, alleges, amended complaint, Clayton Act, programming, consumers, demurrer, premium, buyer, 
appellant's contention, television reception, leave to amend, merchandise"
Case 92,"team, relocation, lease, league, bidding, antitrust, district court, negotiations, stadium, no evidence, conspiracy, 
tortious interference, guidelines, football, competitive bidding, causation, Dome, matter of law, anticompetitive, 
obligations, atmosphere, tending, games, professional football, enterprise, franchise, deterred, policies, parties, 
argues"
Case 93,"software, district court, defendants', material cause, damages, venture, joint venture, anticompetitive, programs, 
operating system, rule of reason, antitrust, arguendo, risky"
Case 94,"conspiracy, purchases, damages, member of the board, engines, Counterclaim, board of directors, blackout, 
reasons, unlawful conspiracy, Plaintiffs', boycott, competitors, conspire, Sherman Act, antitrust, joined, boat, 
minutes, matter of law, entities, motion for judgment as a matter of law, no evidence, unlawful agreement, per se 
violation, reductions, benchmark, nonmovant, Marine, drive"
Case 95,"Foam, district court, remittitur, damages, negligent misrepresentation, price discrimination, negligent 
misrepresentation claim, cause of action, commerce, prices, compensatory damages, transfers, grade, sales, 
punitive damages, sales records, competitors, subsidiary, discovery, products, recuse, vacate, summary judgment, 
award damages, new trial, prejudgment, records"
Case 96,"privileges, surgical, recommended, restrictions, executive committee, antitrust, medical staff, conspiracy, antitrust 
claim, summary judgment, conspire, staff, appellate review, due diligence, alleges, cases, surgery, personal stake, 
peer review, suspected, by-laws, fraudulent concealment, peer review process, general surgeon, Sherman Act, 
intracorporate, Defendants', wrongdoing, reasons, summary judgment motion"
Case 97,"Roofing, distributors, conspiracy, manufacturers, competitors, antitrust, boycott, products, northern, prices, 
concerted action, customers, motive, siding, cooperative, group boycott, summary judgment, supplier, district court, 
causation, conspire, supplies, sales, circumstantial evidence, defendants', horizontal, adduced, complaints, alleges, 
damages"
Case 98,"municipalities, Antitrust, state action doctrine, state law, articulated, off-duty, district court, private security, state 
policy, authorizes, regulation, immunity, entitled to immunity, local government, police officer, state immunity, 
present case, anticompetitive, law-enforcement, allegations, foreseeable, Construing, exemption, ordinance, 
displace, sheriffs, supplied, uniforms"
Case 99,"damages, defendants', plaintiffs', antitrust, remoteness, cause of action, proximate cause, proximate, Counts, 
antitrust claim, injuries, defendant's conduct, motion to dismiss, conspiracy, anti trust law, Activity Act, courts, 
standing to bring, double recovery, tobacco, flowed, Funds, patients, grounds, antitrust violation, medical expenses, 
personal injury, Clayton Act, undertaken, products"
Case 100,"hotel, traffic, antitrust, height, zoning, sham, site plan, defendants', properties, site, planning commission, Turnpike, 
borough, special exception, summary judgment, baseless, genuine, motions, zoning ordinance, nonmoving party, 
traffic impact, material fact, adversely affect, probable cause, common pleas, moving party, neighboring, adjoining, 
nonmovant, ordinance"
