���X,���e
48,"Opinion HN1 [ ]   15 U.S.C. Sec. 15  states: Any person who shall be injured in his business or property by reason of anything forbidden in the antitrust laws may sue  therefore in any district court of the United States in the district in which the defendant resides or is found or has an agent,  without respect to the amount in controversy, and shall recover threefold the damages by him sustained, and the cost of  suit, including a reasonable attorney's fee. The plaintiff also seeks injunctive relief under  15 U.S.C. Sec. 26 . The relationship between the plaintiff and defendant has long  since ceased, and injunctive relief is not appropriate here. The cases cited by plaintiff in his pretrial memorandum are inapposite. HN2 [ ]   15 U.S.C. Sec. 1  states in pertinent part:"
49,"Every contract, combination in the form of trust or otherwise, or conspiracy, in restraint of trade or commerce among the  several states . . . is declared to be illegal . . . . The plaintiff's complaint also alleges a violation of Sec. 2 of the Sherman Act. Yet, there are no facts stated by plaintiff in any of  the documents before this court which even hint at the existence of a monopoly or the assertion of monopolistic power.  The  court therefore strikes the plaintiff's allegation of a Sec. 2 violation. HN3 [ ]   15 U.S.C. Sec. 13(a)  states in pertinent part: It shall be unlawful for any person engaged in commerce . . . either directly or indirectly, to discriminate in price between  different purchasers of commodities of like grade and quality . . . where the effect of such discrimination may be  substantially to lessen competition or to tend to create a monopoly in any line of commerce, or to injure, destroy, or prevent  competition with any person who either grants or knowingly receives the benefit of such discrimination, or with customers of  either of them . . . . The plaintiff's pre-trial memorandum, filed some three-and-a-half years after his complaint, alleges violations of  15 U.S.C. Secs.  13(c)(d)  &  (e) .  Again, there is nothing in the record to buttress such tardy and conclusory allegations.  The court therefore  strikes the plaintiff's allegations of Secs. 2(c)(d) & (e) violations. HN4 [ ]   28 U.S.C. Sec. 1337  states: The district courts shall have original jurisdiction of any civil action or proceeding arising under any Act of Congress  regulating commerce or protecting trade and commerce against restraints and monopolies. This is actually a renewed motion for summary judgment. Judge Day originally denied the defendant's motion.  This court then  decided it had the power to reconsider the denial and entertain a renewed motion, especially in the light of the decision of the  district court on remand in  Simpson v. Union Oil Co., 270 F. Supp. 754 (N.D. Calif. 1967) . HN5 [ ]  Fed. R. Civ. P. 56(b)  states in pertinent part: A party against whom a claim . . . is asserted . . . may, at any time, move with or without supporting affidavits for a summary  judgment in his favor as to all or any part thereof."
50,"The record before this court for purposes of the summary judgment includes (1) the complaint, (2) the answer, (3) the original  motion for summary judgment, (4) the original affidavit of P. R. Whitcomb, a Texaco employee, (5) the Texaco sale agreement -  Exhibit A, (6) the Texaco consignment agreement - Exhibit B, (7) the defendant's original brief in support of its original motion,  (8) the plaintiff's original brief in opposition to the defendant's original motion, (9) Judge Day's decision denying summary  judgment, (10) the defendant's motion and memorandum concerning this court's power to reconsider, (11) the decision of this  court to reconsider, (12) the defendant's renewed motion for summary judgment and supporting brief, (13) the deposition of the  plaintiff, Stanton, and (14) the pre-trial memoranda of the two parties. See infra, this opinion, Sherman Act,  Sec. 1  Restraint of Trade and Combination or Conspiracy."
53,"See, supra, note 3. For a statement of the statutory language here pertinent, see supra, note 3. The Robinson-Patman Act"
54,"See, infra, this opinion, The Facts - The Robinson-Patman Act Claim. Ibid. At this juncture, there is no need for this court to meticulously document the basis for every factual dispute arising out of the  numerous documents before it.  A general enumeration of the areas of relevant dispute will suffice."
56,"Liquilux Gas Services, Inc. v. Tropical Gas Co. Reporter 48 F.R.D. 330 *; 1969 U.S. Dist. LEXIS 10579 **; 13 Fed. R. Serv. 2d (Callaghan) 1167 Core Terms Opinion"
57,"Irrespective of which view is taken, that portion of the Court's order striking paragraphs 26(J) and 26(K) from Count III most  assuredly did not dispose of any separate claim.  Thus, under no circumstances could that part of the order be appealed at this  time."
59,"Truxes v. Rolan Electric Corp. Reporter 314 F. Supp. 752 *; 1970 U.S. Dist. LEXIS 10906 **; 1971 Trade Cas. (CCH) P73,401 Core Terms LexisNexis® Headnotes"
61,Opinion
67,"Boston Professional Hockey Asso. v. Cheevers Reporter 348 F. Supp. 261 *; 1972 U.S. Dist. LEXIS 11807 **; 1972 Trade Cas. (CCH) P74,227 Core Terms LexisNexis® Headnotes"
68,Opinion
75,"Lang's Bowlarama, Inc. v. AMF, Inc. Reporter 377 F. Supp. 405 *; 1974 U.S. Dist. LEXIS 12534 **; 1974-2 Trade Cas. (CCH) P75,331 Core Terms LexisNexis® Headnotes"
77,Opinion
83,"Anderson Foreign Motors, Inc. v. New England Toyota Distributors, Inc. Reporter 475 F. Supp. 973 *; 1979 U.S. Dist. LEXIS 10127 **; 1979-2 Trade Cas. (CCH) P62,833 Core Terms LexisNexis® Headnotes"
88,"Opinion  The original complaint included as a defendant Toyota Motor Sales, U.S.A., the national Toyota distributing concern which  imported and distributed automobiles to regional wholesale distributor-franchisees like NET. Toyota Motor Sales, however, was  subsequently removed as a party-defendant on request of counsel.  Although tying arrangements can violate both  Section 1  of the Sherman Act and  Section 3  of the Clayton Act, only the former  statutory provision applies to this case, since the jurisdictional prerequisites for a Clayton Act violation are not present. In  particular, the tied product in this case, delivery services, is not within the Clayton Act's prohibition against ties involving ""goods,  wares, merchandise, machinery, supplies or other commodities.""  15 U.S.C. § 14 ; See,  Moore v. Jas. H. Matthews & Co., 9 Cir.  1977, 550 F.2d 1207, 1214 ;  United States v. Jerrold Electronic Corporation, E.D.Pa.1960, 187 F. Supp. 545, 554 , Aff'd per  curiam, 1961,  365 U.S. 567, 81 S. Ct. 755, 5 L. Ed. 2d 806 .   HN2 [ ]  Fed.R.Civ.P. Rule 64  requires that a federal court look to the law of the forum state for any provisional remedies to  secure a final judgment: At the commencement of and during the course of an action, all remedies providing for seizure of person or property for the  purpose of securing satisfaction of the judgment ultimately to be entered in the action are available under the circumstances and  in the manner provided by the law of the state in which the district court is held, existing at the time the remedy is sought . . . ."
90,"Of course, the seven million dollar attachment includes property that is also covered by the motion for a preliminary injunction.  The overlap should not be counted twice, since attachment alone constitutes a sufficient property deprivation to trigger due  process requirements. In addition, because NET no longer distributes Toyota automobiles in New England, it may be that NET's  stock has no value apart from the value of the company's assets. If so, the stock would add nothing to the total value of the  property plaintiffs wish to encumber. On the other hand, NET's stock may be worth more than the attachment amount of $  5,000,000 or even more than likely damages of $ 12,000,000. At this point, we lack sufficient information to make these  determinations."
94,"Prior to 1972, NET itself had subcontracted the delivery function to independent common carriers.  This trend appears to be most marked in those opinions which analyze justifications as affirmative defenses; however, their  teachings apply with equal force to the single product issue."
97,"In oral argument, defendants contended that the dealers suffered no injury at all because they passed on any overcharges to  consumers. In general defendants who are direct purchasers cannot make use of a pass-on theory to defend against a private  antitrust damages action.   Illinois Brick v. Illinois, 1977, 431 U.S. 720, 97 S. Ct. 2061, 52 L. Ed. 2d 707 ;  Hanover Shoe, Inc. v.  United Shoe Machinery Corp., 1968, 392 U.S. 481, 88 S. Ct. 2224, 20 L. Ed. 2d 1231 . Nor is it likely that this case falls within  any exception to the Hanover Shoe doctrine, if any exists. See,  Illinois Brick, supra, 431 U.S. at 743-45, 97 S. Ct. 2061 ."
99,"Even if proof of individual coercion were an element of a tying violation, it appears from an examination of the affidavit  evidence that there is a reasonable likelihood that plaintiffs would prevail on this issue. Only in 1972 did NET switch from hiring  independent common carriers to using its own transportation facilities. Dealers who voluntarily accepted centralized delivery with  the use of independent contractors could not also be deemed to have agreed to delivery by NET itself. The switch-over appears  to have been a unilateral NET decision pursuant to the general terms of the standard dealer franchise agreement reserving the  seller's right to control delivery. Dealers were not allowed to negotiate this new arrangement; they could either accept it or risk  termination of their franchise. See, Toyota Dealer Sales and Service Agreement, Article XIII, P B(3) (most recent agreement)  (Pltff's Ex. 1 to 5/10/76 Anderson Dep). Considering the large investment of each dealer in his ongoing business and the fact  that no dealer could purchase Toyotas from another distributor, the latter alternative was hardly a realistic one. NET, therefore,  exercised its power in the tying product market, its economically powerful position vis a vis its dealers, to coerce compliance with  the new delivery system. Cf.,  F. T. C. v. Texaco, 1968, 393 U.S. 223, 226-29, 89 S. Ct. 429, 21 L. Ed. 2d 394 .  We have considered the results of the informal survey conducted by Ronald A. Joseph, President of NET, in December 1976,  just prior to commencement of this litigation. 1/6/77 Affidavit of R. A. Joseph. The survey purports to indicate that 22 of 75  dealers did not object to the NET delivery scheme. We attach little weight to this highly informal, self-serving study."
101,"Bass v. Boston Five Cent Sav. Bank Reporter 478 F. Supp. 741 *; 1979 U.S. Dist. LEXIS 9463 **; 1980-2 Trade Cas. (CCH) P63,383 Core Terms LexisNexis® Headnotes"
104,Opinion
107,"Feinstein v. Waltham Federal Savings and Loan Association, Liskov v. Cambridgeport Savings Bank, and Plotnick v. Suffolk  Franklin Savings Bank."
110,"Those four agreements are the agreements at issue in Chait v. Watertown Savings Bank (72-2283-C), Liskov v.  Cambridgeport Savings Bank (72-2285-C), Plotnick v. Suffolk Franklin Savings Bank (72-2286-C), and Zabin v. Lexington Trust  Co. (72-2287-C)."
111,"Hew Corp. v. Tandy Corp. Reporter 480 F. Supp. 758 *; 1979 U.S. Dist. LEXIS 8427 **; 1980-1 Trade Cas. (CCH) P63,065 Core Terms Opinion  This requested award appears to have mistakenly omitted some 126.00 hours of billable time.  The sum of the categories of  time spent in Appendix C-3 to the ""Memorandum of Harold Brown In Support of the Petition For Fees and Costs"" exceeds the  sum of the hours attributed to each of the three named attorneys by that figure. Because I have determined this discrepancy to  have been the result of a mathematical error and, moreover, because the position of the objectors to the application would not  be materially affected or altered by an increase in the number of hours billed by petitioners, I will consider the application as  correctly requesting an award which would encompass the additional 126.00 hours."
112,"From this total award petitioners will, of course, reimburse to class members monies which had been advanced in the form of  retainers ($ 58,400.00) or expenses ($ 6,778.86).    15 U.S.C. § 15  provides: Any person who shall be injured in his business or property by reason of anything forbidden in the antitrust laws may sue  therefor in any district court of the United States in the district in which the defendant resides . . .  without respect to the amount  in controversy, and shall recover threefold the damages by him sustained, and the cost of suit, including a reasonable attorney's  fees.  The compromise settlement reached in this case included, in addition to contractual changes in the franchise agreements, a  fund of $ 900,000.00."
113,"The Court notes that in many instances, Mr. Brown has attributed a great deal of hours to single dates.  Specifically, on  November 27, 1973 he assigned 62.00 hours; on April 12, 1974, 87.00 hours are charged; 28.00 hours are billed for May 30,  1974 and, on January 13, 1975, 30.00 hours are listed.  Obviously, the times charged must represent the total number of hours  put in over several days.  Therefore, while this type of billing is somewhat of a hindrance to the Court, the hours will not be  rejected as having insufficient documentation.  The remaining 4.20 hours of non-compensated time is comprised as follows: 1) 3.00 hours of the 4.00 hours charged on  November 18, 1974 for studying issues of moving for a separate trial of liability and damages.  Since this case ended in  settlement, the fund was not benefitted by these hours.  2) On June 24, 1974 Mr. Brown charged 2.00 hours for studying this  Court's two-page order adopting the Magistrate's recommendation concerning discovery motions 1.00 is clearly sufficient.  3)  Finally, the remaining .20 hour was disallowed because Mr. Brown sought to be compensated for reserving a room at a hotel on  October 16, 1978."
115,See Appendix A-1 (Economic Expert's Final Report).
116,"Petitioners' figures with respect to hours worked by Stadfeld and Pease differ somewhat from the findings made by this Court.   The information contained in the diary of time records (Appendix C-1) as well as the categorized graph extrapolated therefrom  (Appendix C-2) were of little assistance to the Court in this regard.  See Appendix to this Memorandum for computational analysis.  This amount does not include compensation for 25.00 hours of ""Post Settlement Activity"" due to the nebulous nature of this  particular category and due also to the fact that the lodestar encompasses a total of 254.00 hours for ""Settlement Promotion""  and ""Settlement Procedures."" See Appendix.  Furthermore, the 49.80 hours billed for work done in preparation of the fee application has not been factored in because that  time benefitted only the petitioners and not the class fund.  See  Lindy II, supra, 540 F.2d at 111 . Petitioners' contention that the  fee award in  Souza v. Southworth, 564 F.2d 609 (1st Cir. 1977)  controls here is not persuasive.  Souza speaks to compensation  for time spent litigating the fee issue on appeal and is therefore not directly on point with the issue before this Court."
118,"A. D. M. Corp. v. Sigma Instruments, Inc. Reporter 481 F. Supp. 1297 *; 1980 U.S. Dist. LEXIS 9749 **; 1980-1 Trade Cas. (CCH) P63,123 Core Terms LexisNexis® Headnotes"
119,"Opinion  Plaintiff's complaint alleges violations of  §§ 1  and  2  of the Sherman Act,  15 U.S.C. §§ 1  and  2 , and  § 7  of the Clayton Act,  15  U.S.C. § 18 , (Counts I-IV) and of Chapter 93A of the Massachusetts General Laws (Counts V-VII)."
123,"Transitron Electronic Corp. v. Hughes Aircraft Co. Reporter 487 F. Supp. 885 *; 1980 U.S. Dist. LEXIS 10858 **; 205 U.S.P.Q. (BNA) 799 ***; 1980-1 Trade Cas. (CCH) P63,224 Core Terms LexisNexis® Headnotes"
128,Opinion
130,"Both the District Court and the Court of Appeals directly addressed only claim 60, finding that claims 60 and 61 were nearly  identical.   275 F. Supp. at 964 ."
132,"E. g., actions for unfair competition,  Tubeco, Inc. v. Crippen Pipe Fabrication Corp., 402 F. Supp. 838 (E.D.N.Y.1975) , aff'd  mem.,  538 F.2d 314 (2nd Cir. 1976) , for antitrust violations or for breach of the license agreement."
134,"We need not here reiterate the Court of Appeals' comprehensive technical analysis.  See  399 F.2d 373 . Of course, we do not  decide here whether these changes are new or simply non-inventive changes in manufacture.  We need only decide whether the  changes were proposed as amendments by Hughes' patent attorneys with the knowledge that they were new and with a  calculated effort and intent to deceive the Patent Office, or with reckless disregard of their novelty."
138,"We note that Rosenberg was the attorney who was prosecuting the claim at this time.  A Patent Office action had been issued  on March 20, 1953.  Rosenberg responded by an Amendment dated September 16, 1953.  Without waiting for a reply,  Rosenberg filed the ""Supplemental Amendment"" dated March 9, 1954, which contained the ""incriminating"" statements.  We  question if he intended that the supplemental amendment relate back to the September 1953 amendment. If so, it might serve to  explain the ""nine months"" statement since the I.R.E. Bulletin advertising the diode was issued in February, 1953.  As we did earlier in advising that we were not deciding that claims 60 and 61 were non-inventive matter, we again do not  decide that claims 60 and 61 would fail for late filing.  That is not at issue here.  The issue here is whether Hughes, with"
139,"knowledge that the time for filing had expired, conducted its patent prosecution fraudulently to conceal the new matter from the  Patent Office and capture patent protection to which it was not entitled."
140,"While we do not attach any significance to the fact in view of our conclusion, we note that Carman witnessed the program  conducted by Elmo Maiden at Hughes of the successful testing of the gold thermosetting paste from DuPont from February 15 to  March 14, 1952. Carman was employed by Hughes until May, 1954.  "" § 185 . Patent barred for filing without license. HN13 [ ] ""Notwithstanding any other provisions of law any person, and his successors, assigns, or legal representatives, shall  not receive a United States patent for an invention if that person, or his successors, assigns, or legal representatives shall,  without procuring a license prescribed in  section 184  of this title, have made, or consented to or assisted another's making,  application in a foreign country for a patent or for the registration of a utility model, industrial design, or model in respect of the  invention. A United States patent issued to such person, his successors, assigns, or legal representatives shall be invalid."""
141,"A royalty rate of 21/2% established by a master was found by the Sixth Circuit to be too low in a case which involved similar  circumstances in that there were no available non-infringing substitutes for the patented device and in that there was great  competition among sellers of infringing devices.   Panduit Corp. v. Stahlin Bros. Fibre Works, Inc., 575 F.2d 1152 (6th Cir.  1978) ."
142,Even the Court's direct inquiry to the witness as to a means of ascertaining production from inventory or raw material control  failed to reveal any possibility of definitive figures.
146,"Allied Int'l v. International Longshoremen's Ass'n Reporter 492 F. Supp. 334 *; 1980 U.S. Dist. LEXIS 9182 **; 104 L.R.R.M. 2735; 90 Lab. Cas. (CCH) P12,475; 1980-2 Trade Cas. (CCH)  P63,498 Core Terms Opinion"
149,"Given my disposition of the Sherman Act claims, I need not reach defendants' argument that no conspiracy may exist when a  union acts ""unilaterally"" with its members and locals.  I note, however, that the Supreme Court had no problem with this issue in  Carroll, and all the cases cited by the defendant relate to corporations and their subdivisions or officers.  In addition, counsel for  the defendants repeatedly stressed at oral argument the independent nature of each local's decision, characterizing the January  9 directive as one of ""policy"", not ""command"".  The same result would have occurred under Massachusetts law, which requires a legally protected interest, intentionally  invaded by conduct either per se unlawful or conducted with malice, and damages.   Old Colony Donuts, Inc. v. American  Broadcasting Cos., Inc., 368 F. Supp. 785, 787 (D.Mass.1974) ;  Caverno v. Fellows, 300 Mass. 331, 333, 15 N.E.2d 483 (1938) ."
151,"Anderson Foreign Motors, Inc. v. New England Toyota Distributor, Inc. Reporter 492 F. Supp. 1383 *; 1980 U.S. Dist. LEXIS 9300 **; 1980-2 Trade Cas. (CCH) P63,470 Core Terms LexisNexis® Headnotes"
153,"Opinion  The case had been transferred by the Clerk in April, 1979, to Judge McNaught upon his assuming office; but as transferor  judge we retained jurisdiction of all motions then under advisement.  As grounds for the additional attachment, plaintiffs explained that a leasehold interest which they had sought to attach in the  amount of $ 5,000,000 had been terminated while the motion for attachment was being considered by the court."
154,"Plaintiffs' decision to withdraw the motion for preliminary injunction seems to us well taken.  In its August 1979 memorandum  of decision, which is reported at  475 F. Supp. 973 , the court sua sponte addressed the question of its authority to order a  Rule  65  preliminary injunction as a form of equitable attachment over defendants' stock. The precise issue had not been argued or  briefed by the parties.  At the time, we proposed alternative bases for our power to order the requested form of preliminary  injunction. Each depended on whether we took a narrow or broad view of the phrase, "". . .  and other corresponding or  equivalent remedies"", in  Rule 64  a point apparently not settled under the present state of the law.  See  475 F. Supp. at 977 .  Defendants correctly point out in their recent memorandum, however, that on the question of the scope of state law remedies we  incorrectly distinguished the case of  Daley v. Ort, D.Mass.1951, 98 F. Supp. 151 , which denied a motion for equitable  attachment prior to verdict.  Had we had the occasion to rule now directly on this point, which we would have had if plaintiffs had  not withdrawn their motion for preliminary injunction, we probably would have changed that aspect of our prior decision and  denied the injunction.  Massachusetts law permits equitable attachment in this instance, presented in the form of a preliminary  injunction only in actions founded upon a debt, which this action is not.   Mass.G.L. c. 214, § 3(7) .  See,  H. G. Kilbourne Co. v.  Standard Stamp Affixer Co., 1913, 216 Mass. 118, 103 N.E. 469 ;  Daley v. Ort, supra, at 152 ."
155,"Hence the rule regarding backhaul allowances. See  85 F.T.C. 1174 (1975) . Since the backhaul issue was raised by  defendants' counsel at the hearing on the pending motions, the rule bears restating.  If a seller adopts a uniform delivered  pricing system, its pricing options must be ""(1) uniform, and (2) available to all customers on a non-discriminatory basis.""  85  F.T.C. at 1176 . While the delivered pricing system is in operation, a backhaul allowance to one customer is illegal; a non- discriminatory option offered to all customers to purchase at an alternative f. o. b. price is not.  Thus an improper backhaul  allowance involves selective deviation from a delivered pricing system once it's in place.  It is not the equivalent, as defendants  seem to suggest, of charging a uniform mill or base price for the product and either adding a delivery charge according to the  distance of the purchaser from the plant, or permitting all purchasers to contract independently for delivery.  The quoted opinion clarified an earlier advisory opinion to the General Foods Corporation.  In the course of the clarification the  FTC noted that the legality or illegality of the delivered price system chosen by General Foods was not at issue.  At issue was"
156,"only whether General Foods could follow a delivered price system with respect to one set of purchasers, while it offered freight- related allowances to private carrier customers positioned to take ""dock"" delivery.  85 F.T.C. at 1175 ."
157,"In  ITT Community Development Corp. v. Barton, 5 Cir. 1978, 569 F.2d 1351 , for example, nothing in the Florida law on  garnishment authorized a court to order funds paid into the registry of the court to secure payment before judgment was entered.  We are confused by the citation to  Bruce's Juices, Inc. v. American Can Co., 1946, 330 U.S. 743, 67 S. Ct. 1015, 91 L. Ed.  1219 , upon which defendants have in part based their statutory construction of the Clayton Act. Bruce's Juices construed only  the Robinson-Patman Act.  At issue in that case was whether the plaintiff-buyer should be allowed to seek as a final remedy a  declaration from the court that certain notes could not be collected on by the defendant-seller who was found to have violated  the Robinson-Patman Act.  Such a remedy, in the Court's view, was clearly outside the intended purposes of the Robinson- Patman Act.  The case does not deal either with the Sherman or Clayton Acts, or with the provisional remedy of prejudgment  attachment."
160,"Grendel's Den v. Goodwin Reporter 495 F. Supp. 761 *; 1980 U.S. Dist. LEXIS 12787 **; 1980-81 Trade Cas. (CCH) P63,841 Core Terms LexisNexis® Headnotes"
164,"Opinion  U.S.Const. Amend. XIV, sec. 1."
