Page ,Footnote
  45 ,"9  Norris and Wirtz were given five years to sell their stock in Madison Square Garden, which stock is listed on the New York Norris and Wirtz were given five years to sell their stock in Madison Square Garden, which stock is listed on the New York  Stock Exchange.  During this time, the stock is to be held by two trustees named by the court.  If the stock is not sold within five  years, the trustees are ordered to sell it within the next two years."
  47 ,"10  This provision of the decree, applying only to championship contests, ordered appellants to lease their respective buildings This provision of the decree, applying only to championship contests, ordered appellants to lease their respective buildings  upon seasonable written request by a qualified promoter, if the proposed rent is reasonable, if the applicant furnishes adequate  security, and if at the time of the application the building is neither already under lease to another for the specified day nor in  conflict at that time with ""any well-established event"" which has been regularly conducted therein.  If the parties cannot agree on  what constitutes adequate security or a reasonable rental, either party may apply to the court for a determination thereof."
  49 ,"1  Apart from its divestiture and dissolution provisions, the decree imposes wide-ranging and pervasive restrictions on appellants' Apart from its divestiture and dissolution provisions, the decree imposes wide-ranging and pervasive restrictions on appellants'  activities in boxing promotion and exhibition.  It renders void all exclusive contracts which they may presently have with boxers.   It prohibits the making of new exclusive contracts, with the exception that, after five years, exclusive provision may be made for  return bouts. Similarly, exclusive leases with stadia not owned by appellants are proscribed.  So, too, are such arrangements  with television and radio broadcasters.  Further, appellants are restrained, for a period of five years, from promoting more than  four championship boxing programs annually, two by Madison Square Garden and two, cumulatively, by Norris and Wirtz.   During that five-year period also, the compulsory leasing provisions discussed in the Court's opinion are to be in effect.  Finally,  the decree removes Norris and Wirtz as officers and directors of Madison Square Garden, and enjoins them from holding such  positions in the future."
  49 ,"2  The District Court put the matter in this way: ""I don't charge them [Norris and Wirtz] with malicious intentional and moral The District Court put the matter in this way: ""I don't charge them [Norris and Wirtz] with malicious intentional and moral  wrongdoing, nor do I proceed to formulate the decree on such a basis.  They are guilty, if anything, of a moral, prohibitive wrong "
  59 ,"1  Under present FCC regulations, NBC can own no more than five stations, 47 CFR, 1958, § 3.636, so that acquisition of a new Under present FCC regulations, NBC can own no more than five stations, 47 CFR, 1958, § 3.636, so that acquisition of a new  station would require that an existing one be relinquished."
  59 ,"2  Federal Communications Commission Report No. 2793, Public Notice 27067, December 28, 1955. Federal Communications Commission Report No. 2793, Public Notice 27067, December 28, 1955."
  60 ,"3  Commissioner Bartley dissented from the action, urging that hearings should have been held because the facts theretofore Commissioner Bartley dissented from the action, urging that hearings should have been held because the facts theretofore  revealed by the investigation had raised ""serious questions as to the desirability and possible legality of the competitive practices  followed by the network in obtaining dominance of major broadcast markets."" He suggested that there was ""a substantial  question whether, once the Commission grants its approval to these transfers, certain provisions of the Clayton Act (viz.   15 U.  S. C. Section 18 ) might prevent Federal Trade Commission and Justice Department from taking any  effective  action in the event  they concluded that possible violations of the anti-trust laws were involved."" (Emphasis by the Commissioner.) Commissioner  Doerfer, joined by Commissioner Mack, responded that it was unnecessary to hold a hearing because the investigation had fully  revealed the facts.  He concluded, however: ""It is difficult to see how approval of this exchange may effectively preclude other  governmental agencies from examining into this or any other transaction of the network companies."""
  61 ,"4  44 Stat. 1162.  See H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49. 44 Stat. 1162.  See H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49."
  61 ,"5  ""The Secretary of Commerce is hereby directed to refuse a station license and/or the permit hereinafter required for the ""The Secretary of Commerce is hereby directed to refuse a station license and/or the permit hereinafter required for the  construction of a station to any person, firm, company, or corporation, or any subsidiary thereof, which has been found guilty by  any Federal court of unlawfully monopolizing or attempting to unlawfully monopolize radio communication, directly or indirectly,  through the control of the manufacture or sale of radio apparatus, through exclusive traffic arrangements, or by any other means.   The granting of a license shall not estop the United States or any person aggrieved from prosecuting such person, firm,  company, or corporation for a violation of the law against unlawful restraints and monopolies and/or combinations, contracts, or  agreements in restraint of trade."""
  61 ,"6  ""All laws of the United States relating to unlawful restraints and monopolies and to combinations, contracts, or agreements in ""All laws of the United States relating to unlawful restraints and monopolies and to combinations, contracts, or agreements in  restraint of trade are hereby declared to be applicable to the manufacture and sale of and to trade in radio apparatus and  devices entering into or affecting interstate or foreign commerce and to interstate or foreign radio communications.  Whenever in  any suit, action, or proceeding, civil or criminal, brought under the provisions of any of said laws or in any proceedings brought to  enforce or to review findings and orders of the Federal Trade Commission or other governmental agency in respect of any  matters as to which said commission or other governmental agency is by law authorized to act, any licensee shall be found guilty  of the violation of the provisions of such laws or any of them, the court, in addition to the penalties imposed by said laws, may  adjudge, order, and/or decree that the license of such licensee shall, as of the date the decree or judgment becomes finally  effective or as of such other date as the said decree shall fix, be revoked and that all rights under such license shall thereupon  cease:  Provided, however , That such licensee shall have the same right of appeal or review as is provided by law in respect of  other decrees and judgments of said court."""
  61 ,"7  As then phrased, the Act was to be administered primarily by the Secretary of Commerce. As then phrased, the Act was to be administered primarily by the Secretary of Commerce."
  61 ,"8  Hearings before the House Committee on the Merchant Marine and Fisheries on H. R. 5589, 69th Cong., 1st Sess. 27. Hearings before the House Committee on the Merchant Marine and Fisheries on H. R. 5589, 69th Cong., 1st Sess. 27."
  61 ,"9  Id Id ., at 29."
  62 ,"10  See H. R. Rep. No. 404, 69th Cong., 1st Sess. 6, 16, 23. See H. R. Rep. No. 404, 69th Cong., 1st Sess. 6, 16, 23."
  62 ,11  67 Cong. Rec. 12507. 67 Cong. Rec. 12507.
  62 ,"12  H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49. H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49."
  63 ,"13  H. R. Conf. Rep. No. 2426, 82d Cong., 2d Sess. 19. H. R. Conf. Rep. No. 2426, 82d Cong., 2d Sess. 19."
  63 ,"14  We recently explained the nature of the doctrine in We recently explained the nature of the doctrine in   United States v. Western Pacific R. Co., 352 U.S. 59, 63-64 :"
  64 ,"15  See, generally, 3 Davis, Administrative Law Treatise, §§ 19.05, 19.06; Jaffe, Primary Jurisdiction Reconsidered: The Anti- See, generally, 3 Davis, Administrative Law Treatise, §§ 19.05, 19.06; Jaffe, Primary Jurisdiction Reconsidered: The Anti- Trust Laws, 102 U. of Pa. L. Rev. 577; Schwartz, Legal Restriction of Competition in the Regulated Industries: An Abdication of  Judicial Responsibility,  67 Harv. L. Rev. 436; von Mehren, The Antitrust Laws and Regulated Industries: The Doctrine of  Primary Jurisdiction,  67 Harv. L. Rev. 929."
  64 ,"16  This followed because, in the words of Mr. Justice Brandeis in This followed because, in the words of Mr. Justice Brandeis in   Keogh v. Chicago & N. W. R. Co., supra, at 161 , "". . . a  combination of carriers to fix reasonable and non-discriminatory rates may be illegal."" This Court in   Georgia v. Pennsylvania R.  Co., supra , took the position that shippers were entitled to have rates filed by carriers who were not parties to a conspiracy, even  though the rates filed were the lowest which would be found to be reasonable.  The risk that future filings would be at the  uppermost limits of the zone of reasonableness was too great, and damage from the conspiratorial filings was presumed to flow.   Of course, when the agency is permitted to exempt from antitrust coverage rates filed cooperatively, the doctrine equally applies  to an attack on the alleged conspiracy.  United States Navigation Co . v.   Cunard S. S. Co., supra ;    Far East Conference v. United  States, supra."
  65 ,"17  Under Title II, common carriers are required to furnish communications service on reasonable request and may charge only Under Title II, common carriers are required to furnish communications service on reasonable request and may charge only  just and reasonable rates,  § 201 . Such carriers must file rates with the FCC, and can charge only the rates as filed, § 203. The  Commission may hold hearings on the lawfulness of filed rates, § 204, and after hearings may itself set the applicable rate, §  205. Cf.  49 U. S. C. § 15  et seq ., 46 U. S. C. § 817. In view of this extensive regulation, Congress has provided that certain  actions of telephone and telegraph companies may be exempted from the antitrust laws by the Commission, § 221 (a) and § 222  (c)(1).  Cf.  49 U. S. C. §§ 5 (11), 5b (9) and 46 U. S. C. § 814. Such exemptions are, however, subject to review, see   Federal  Maritime Board v. Isbrandtsen Co., 356 U.S. 481 ."
  65 ,"18  This conclusion is re-enforced by the Commission's disavowal of either the power or the desire to foreclose the Government This conclusion is re-enforced by the Commission's disavowal of either the power or the desire to foreclose the Government  from antitrust actions aimed at transactions which the Commission has licensed.  This position was taken both before the district  judge below, and in a Supplemental Memorandum filed in this Court, page 8:"
  66 ,"19  See also Report on Uniform Policy as to Violation by Applicants of Laws of United States, FCC Docket No. 9572, 1 Pike and See also Report on Uniform Policy as to Violation by Applicants of Laws of United States, FCC Docket No. 9572, 1 Pike and  Fischer, Radio Regulation, Part III, 91:495."
  66 ,"20  It is relevant to note that the Commission is not expressly required to give the Government notice that antitrust issues have It is relevant to note that the Commission is not expressly required to give the Government notice that antitrust issues have  been raised in a  § 310 (b)  proceeding.  Compare § 222 (c)(1) of the Act relating to common carriers, which expressly makes  consolidations and mergers exempt from antitrust coverage if approved by the Commission, but which also expressly requires  that notice be given to the Attorney General of the United States prior to approval."
  68 ,"*  Together with No. 27, South Dakota et al. v. United States et al., and No. 28, Minnesota et al. v. United States et al., also on Together with No. 27, South Dakota et al. v. United States et al., and No. 28, Minnesota et al. v. United States et al., also on  appeals from the same Court."
  78 ,"1  Section 5 (2) of the Interstate Commerce Act (24 Stat. 380, as amended, 54 Stat. 905, 49 U. S. C. § 5 (2)) Section 5 (2) of the Interstate Commerce Act (24 Stat. 380, as amended, 54 Stat. 905, 49 U. S. C. § 5 (2))  HN1 [ ] provides, in  pertinent part, that:"
  78 ,"2  The term ""bridge carrier"" appears to mean a short-line carrier which transports through traffic from one long-line carrier to The term ""bridge carrier"" appears to mean a short-line carrier which transports through traffic from one long-line carrier to  another."
  79 ,"3  During the negotiations, Minneapolis first offered $ 69.50, and later $ 80, per share for the stock. On April 15, 1955, the Santa During the negotiations, Minneapolis first offered $ 69.50, and later $ 80, per share for the stock. On April 15, 1955, the Santa  Fe and Pennsylvania each obtained letter commitments from the trustees for the sale to each of them of 26% of the Western  stock at a price of $ 100 per share. (Near the same time the Rock Island made a like offer to the trustees for 26% of the Western  stock, but that offer was not accepted.) But a dispute arose -- and apparently still exists between the trustees and Pennsylvania - - with respect to the validity of those commitments.  Thereupon, Minneapolis offered the trustees $ 133 per share for the  Western stock, but that offer was not accepted, and on May 26, 1955, the Santa Fe, acting, as the Commission found, ""on behalf  of that carrier alone,"" agreed with the trustees for the sale by the latter and purchase by the former of all the Western stock held  by the trustees at a price of $ 135 per share, and those parties on that date entered into a contract, accordingly, subject to  approval of the Commission."
  79 ,"4  The contract of June 28, 1955, between the Santa Fe and the Pennsylvania Company provided that it was without prejudice to The contract of June 28, 1955, between the Santa Fe and the Pennsylvania Company provided that it was without prejudice to  any claims, causes of action or rights which Pennsylvania may have against the trustees of the McNear estate with respect to  the letter commitment of April 15, 1955, for the sale by the trustees to Pennsylvania of 26% of the Western stock; and that, in the  event Pennsylvania should acquire from the trustees, under that letter commitment, all or any part of such shares, the obligation  of the Santa Fe under the contract to sell Western shares to the Pennsylvania Company was to be reduced accordingly.  It  appears that litigation was then, and is yet, pending by Pennsylvania against the trustees for the enforcement of the letter  commitment of April 15, 1955."
  79 ,5  See note 1. See note 1.
  80 ,"6  The New York, Chicago & St. Louis Railroad Company (""Nickel Plate"") and the Chicago, Rock Island & Pacific Railroad The New York, Chicago & St. Louis Railroad Company (""Nickel Plate"") and the Chicago, Rock Island & Pacific Railroad  Company (""Rock Island"") sought authority, under § 5 (2)(d) of the Act (see note 1), to be included in the acquisition of Western's  stock on an equal basis with the successful applicant or applicants."
  80 ,"7  The Chicago, Burlington & Quincy Railroad Company (""Burlington"") and the Wabash Railroad Company (""Wabash"") did not The Chicago, Burlington & Quincy Railroad Company (""Burlington"") and the Wabash Railroad Company (""Wabash"") did not  object to approval of the Santa Fe-Pennsylvania application, provided the order required continuation of present routes and  channels of trade via existing junctions and gateways and of all existing traffic and operating relations and arrangements, but  they asked, in the event any railroad other than the Santa Fe and Pennsylvania be authorized to acquire an interest in Western's  stock, that they, too, be authorized to participate therein to the same extent as any such other railroad."
  80 ,8  See notes 6 and 7. See notes 6 and 7.
  80 ,"9  49 U. S. C., n. preceding 49 U. S. C., n. preceding  § 1 , 54 Stat. 899."
  82 ,"10  15 U. S. C. § 1 15 U. S. C. § 1 ,  26  Stat. 209."
  82 ,"11  15 U. S. C. § 18 15 U. S. C. § 18 ,  38  Stat. 731."
  84 ,"12  It is clear that § 10 of the Clayton Act It is clear that § 10 of the Clayton Act  HN10 [ ] is included in the ""anti-trust laws"" referred to in § 5 (11) of the Interstate "
  84 ,"13  The legislative history of § 10 of the Clayton Act, though meager, supports the view stated in the text.  In fact, the language of The legislative history of § 10 of the Clayton Act, though meager, supports the view stated in the text.  In fact, the language of  the several drafts of § 10, together with the types of abuses cited in support of its enactment, suggests strongly that the words  ""dealings in securities"" were intended to cover only a carrier's dealings with related persons in its own securities.  See H. R. Rep.  No. 627, 63d Cong., 2d Sess., p. 3; S. Rep. No. 698, 63d Cong., 2d Sess., pp. 47-48; S. Doc. No. 585, 63d Cong., 2d Sess., pp.  8-9; 51 Cong. Rec. 15943."
  85 ,"14  60 Stat. 242, 60 Stat. 242,  5 U. S. C. § 1007 (b) ."
  92 ,"1  The pertinent provision of The pertinent provision of  Sections 1 ,  3  and  4  of the Act of July 2, 1890, 26 Stat. 209, as amended ( 15 U. S. C. §§ 1 ,  3 ,  4 ),  commonly known as the Sherman Act, are as follows:"
  93 ,"2  Congress has provided that Congress has provided that  HN2 [ ] where a State adopts a ""Fair Trade Law"" which permits sellers under certain  circumstances to make price-fixing agreements with purchasers, such agreements shall not be held illegal under the Sherman  Act,  15 U. S. C. § 1 . The Fair Trade Laws adopted in 16 States have been invalidated by their state courts on state grounds.  H.  R. Rep. No. 467, 86th Cong., 1st Sess. 6-7.  On June 9, 1959, the House Committee on Interstate Commerce favorably reported  a bill which, if passed, would enact a National Fair Trade Practice Act."
  93 ,"3  32 Stat. 823, 32 Stat. 823,  15 U. S. C. § 29 , as amended by § 17 of the Act of June 25, 1948, 62 Stat. 989."
  94 ,"4  When Parke Davis learned from a wholesaler's invoice that he had filled an order of one of the retailers, Parke Davis protested When Parke Davis learned from a wholesaler's invoice that he had filled an order of one of the retailers, Parke Davis protested  but was satisfied when the wholesaler explained that this was an oversight."
  95 ,"5  Except that in December 1957, Parke Davis informed Dart Drug Company that it did not intend to have any further dealings Except that in December 1957, Parke Davis informed Dart Drug Company that it did not intend to have any further dealings  with Dart.  The latter has, however, continued to purchase Parke Davis products from wholesalers. Thus, Dart Drug cannot  receive the volume discount on large quantity purchases."
  98 ,"6  Indeed, if Peoples resumed adherence to the Parke Davis price scale after the interview between its vice-president and Parke Indeed, if Peoples resumed adherence to the Parke Davis price scale after the interview between its vice-president and Parke  Davis' assistant branch manager, p. 34,  supra , shows that Parke Davis and Peoples entered into a price maintenance  agreement, express, tacit or implied, such agreement violated the Sherman Act without regard to any wholesalers' participation."
 100 ,"1  These are the ""restraint of trade,"" not the ""monopoly,"" provisions of the Sherman Act. See Note 1 of the Court's opinion. These are the ""restraint of trade,"" not the ""monopoly,"" provisions of the Sherman Act. See Note 1 of the Court's opinion."
 101 ,"2  Those ""authorized by law to fill or dispense prescriptions."" Those ""authorized by law to fill or dispense prescriptions."""
 101 ,"3  Rule 52 (a), Fed. Rules Civ. Proc. Rule 52 (a), Fed. Rules Civ. Proc.  provides in relevant part: ""Findings of fact shall not be set aside unless clearly erroneous,  and due regard shall be given to the opportunity of the trial court to judge of the credibility of the witnesses."""
 103 ,"4  The District Court found, among other things, that the efforts of Parke Davis in the District of Columbia and Virginia came about The District Court found, among other things, that the efforts of Parke Davis in the District of Columbia and Virginia came about  only after some of its competitors had engaged in damaging local ""deep price cutting"" on Parke Davis products (Fdg. 12); that  Parke Davis' sales in those areas constituted less than 5% of the total pharmaceutical sales therein (Fdg. 3); that these efforts  followed the legal advice previously given by the Company's counsel (Fdg. 12); that Parke Davis did not have ""any regularized  or systematic machinery for maintaining its suggested minimum prices as to either retailers or wholesalers"" (Fdg. 10); that the  entire episode lasted only from July to the fall of 1956, when the Company ""in good faith"" abandoned all further such efforts  (Fdgs. 12, 27); and that since that time retailers in these areas ""have continuously sold and advertised Parke, Davis products at  cut prices, and have been able to obtain those products from both the wholesalers and/or Parke, Davis itself."" (Fdg. 27.)"
 103 ,"5  It may be observed that the facts found by the District Court militate more strongly against violation of the Sherman Act than It may be observed that the facts found by the District Court militate more strongly against violation of the Sherman Act than  those which formed the basis of the charge held erroneous by this Court in   Cudahy, 256 U.S., at 210-211 . Although the Court  now repudiates what was said in  Cudahy  in this respect, I submit that there is nothing in  Beech-Nut, Bausch & Lomb , or any  other case in this Court which justifies this."
 105 ,"*  Together with No. 73, United States v. Maryland and Virginia Milk Producers Association, Inc., also on appeal from the same Together with No. 73, United States v. Maryland and Virginia Milk Producers Association, Inc., also on appeal from the same  Court."
 112 ,"1  Sherman Act Sherman Act  § 2 :  HN1 [ ] ""Every person who shall monopolize, or attempt to monopolize, or combine or conspire with any  other person or persons, to monopolize any part of the trade or commerce among the several States, or with foreign nations,  shall be deemed guilty of a misdemeanor, and, on conviction thereof, shall be punished by fine not exceeding fifty thousand  dollars, or by imprisonment not exceeding one year, or by both said punishments, in the discretion of the court."" 26 Stat. 209  (1890), as amended,  15 U. S. C. § 2 ."
 112 ,"2  Sherman Act Sherman Act  § 3 :  HN2 [ ] ""Every contract, combination in form of trust or otherwise, or conspiracy, in restraint of trade or  commerce in any Territory of the United States or of the District of Columbia . . . or between the District of Columbia and any  State or States or foreign nations, is declared illegal. . . ."" 26 Stat. 209 (1890), as amended,  15 U. S. C. § 3 .  Section 1  declares  the same prohibition as to commerce ""among the several States."" Although there was also a charge against the Association  under  § 1  there was no judgment against it on this section, and that charge is no longer relevant here."
 112 ,"3  Clayton Act § 7: Clayton Act § 7:  HN3 [ ] ""No corporation engaged in commerce shall acquire, directly or indirectly, the whole or any part of the  stock or other share capital and no corporation subject to the jurisdiction of the Federal Trade Commission shall acquire the  whole or any part of the assets of another corporation engaged also in commerce, where in any line of commerce in any section  of the country, the effect of such acquisition may be substantially to lessen competition, or to tend to create a monopoly."
 112 ,"4  38 Stat. 731 (1914), 38 Stat. 731 (1914),  15 U. S. C. § 17 , set forth in note 11,  infra ."
 112 ,"5  Capper-Volstead Act Capper-Volstead Act  § 1 :  HN4 [ ] ""Persons engaged in the production of agricultural products as farmers, planters, ranchmen,  dairymen, nut or fruit growers may act together in associations, corporate or otherwise, with or without capital stock, in  collectively processing, preparing for market, handling, and marketing in interstate and foreign commerce, such products of  persons so engaged.  Such associations may have marketing agencies in common; and such associations and their members  may make the necessary contracts and agreements to effect such purposes . . . ."" 42 Stat. 388 (1922),  7 U. S. C. § 291 .  Section  2  is set forth in note 7,  infra ."
 113 ,"6  32 Stat. 823 (1903), as amended, 32 Stat. 823 (1903), as amended,  15 U. S. C. § 29 ."
 113 ,"7  Capper-Volstead Act Capper-Volstead Act  § 2 :  HN5 [ ] ""If the Secretary of Agriculture shall have reason to believe that any such association  monopolizes or restrains trade in interstate or foreign commerce to such an extent that the price of any agricultural product is  unduly enhanced by reason thereof [after a ""show cause"" hearing he may direct] such association to cease and desist from  monopolization or restraint of trade. . . ."" This order may be enforced by the Attorney General if not obeyed by the association.   42 Stat. 388 (1922),  7 U. S. C. § 292 ."
 114 ,"8     Klor's, Inc., v. Broadway-Hale Stores, Inc., 359 U.S. 207, 211 ;   United States v. Socony-Vacuum Oil Co., 310 U.S. 150, 226, n.  59 ;   Standard Oil Co. of New Jersey v. United States, 221 U.S. 1, 59-60 ."
 114 ,"9  See, See,  e. g.,    Reeves v. Decorah Farmers' Cooperative Society, 160 Iowa 194, 140 N. W. 844 (1913) ;   Burns v. Wray Farmers'  Grain Co., 65 Colo. 425, 176 P. 487 (1918) ;   Ford v. Chicago Milk Shippers' Assn., 155 Ill. 166, 39 N. E. 651 (1895) . Contra,   Burley Tobacco Society v. Gillaspy, 51 Ind. App. 583, 100 N. E. 89 (1912) . Hanna, Antitrust Immunities of Cooperative  Associations, 13 Law and Contemp. Prob. 488-490 (1948); Hanna, Cooperative Associations and the Public,  29 Mich. L. Rev.  148, 163-165 (1930); Jensen, The  Bill of Rights  of U.S. Cooperative Agriculture,  20 Rocky Mt. L. Rev. 181, 184-189 (1948). See  generally Att'y Gen. Nat'l Comm. Antitrust Rep. (1955), 306-313; Note,  57 Mich. L. Rev. 921 (1959)."
 114 ,"10  See statutes collected in Jensen, The See statutes collected in Jensen, The  Bill of Rights  of U.S. Cooperative Agriculture,  20 Rocky Mt. L. Rev. 181, 191, n. 29  (1948); Note,  38 Harv. L. Rev. 87, 89, n. 17 (1924). See   Connolly v. Union Sewer Pipe Co., 184 U.S. 540, 556-558 (1902) ,  holding Illinois exemption statute unconstitutional, and see dissent per McKenna, J., at 565, 571; overruled by   Tigner v. Texas,  310 U.S. 141 (1940) ."
 114 ,"11  Clayton Act § 6: Clayton Act § 6:  HN6 [ ] ""The labor of a human being is not a commodity or article of commerce. Nothing contained in the  antitrust laws shall be construed to forbid the existence and operation of labor, agricultural, or horticultural organizations,  instituted for the purposes of mutual help, and not having capital stock or conducted for profit, or to forbid or restrain individual  members of such organizations from lawfully carrying out the legitimate objects thereof; nor shall such organizations, or the  members thereof, be held or construed to be illegal combinations or conspiracies in restraint of trade, under the antitrust laws.""  38 Stat. 730 (1914),  15 U. S. C. § 17 ."
 114 ,"12  Allen Bradley Co Allen Bradley Co . v.   Local Union No. 3, 325 U.S. 797, 805 ;  Duplex Printing Press Co . v.   Deering, 254 U.S. 443, 468-469 . Cf.    United States v. Hutcheson, 312 U.S. 219 ."
 114 ,"13  ""In the light of previous decisions of the courts and in view of a possible interpretation of the law which would empower the ""In the light of previous decisions of the courts and in view of a possible interpretation of the law which would empower the  courts to order the dissolution of such organizations and associations, your committee feels that all doubt should be removed as  to the  legality of the existence and operations  of these organizations and associations, and that the law should not be construed  in such a way as to authorize their  dissolution  by the courts under the antitrust laws or to forbid the individual members of such  associations from carrying out the  legitimate and lawful objects  of their associations."" (Emphasis supplied.) H. R. Rep. No. 627,  63d Cong., 2d Sess. 16; S. Rep. No. 698, 63d Cong., 2d Sess. 12."
 115 ,"14  Some Congressmen opposed § 6 of the Clayton Act because it did not include agricultural associations with capital stock. Some Congressmen opposed § 6 of the Clayton Act because it did not include agricultural associations with capital stock.  ""Under the provisions of section 7 [now § 6] of this bill farmers' organizations with capital stock, organized for profit, would be left  subject to the provisions of the Sherman  antitrust law ."" H. R. Rep. No. 627, Pt. 4, 63d Cong., 2d Sess. 4.  And see  id ., Pt. 3, 10."
 115 ,"15  H. R. Rep. No. 24, 67th Cong., 1st Sess. 2. H. R. Rep. No. 24, 67th Cong., 1st Sess. 2."
