­¶½X,¤º®e,
24,Headnotes/Summary,
25,Syllabus Opinion,
30,Overland Publishing Co. v. Union Lithograph Co. Reporter 57 Cal. App. 366 *; 207 P. 412 **; 1922 Cal. App. LEXIS 329 *** Core Terms LexisNexisÂ® Headnotes,
32,Headnotes/Summary Labor Unions ??Agreement to Sell Labor Only to Special Class?”Validity of.  Id.?”Exercise of Right to Work.  Id.?”Boycott of Employer?”Inability to Secure Union Labor?”Damages?”Injunction.,
33,Monopolies?”Violation of Cartwright Act?”Action by Private Person?”Damage?”Pleading.  Id. ??Relief Accorded by Act to Private Persons.  Opinion,
38,People v. Bldg. Maint. Contractors Ass'n Reporter 1953 Cal. App. LEXIS 2053 *; 253 P.2d 983 Core Terms LexisNexisÂ® Headnotes,
41,Opinion,
42,"Except that the buildings of the Pacific Gas & Electric Company and of the Pacific Telephone and Telegraph Company are  serviced by those companies, respectively, employing members of [O> the <O] unions of the Congress of Industrial  Organizations.",
47,"In that report, at page 10, the following statement appears: ""The commission desires to call particular attention to its solution of  a problem which arose in preparing the codification of the Cartwright Anti-Trust Act (Chapter 530, Statutes of 1907, as  amended). In 1909 (Chapter 362) the act was amended, among other things, to provide certain exemptions in Section 1. ""The Federal District Court for the Southern District of California has held that these exemptions, added to the California Act in  1909, are unconstitutional and not separable and that, therefore, the entire California act is invalid. (  Blake vs. Paramount  Pictures, Inc., (1938) 22 F. Supp. 249 ). This decision relies on the United States Supreme Court decision which held  unconstitutional a Colorado antitrust statute, containing exemptions substantially identical to those added to Section 1 of the  California act in 1909, on the ground that these exemptions, a part of the Colorado statute as originally enacted, made the  required standard of conduct too uncertain for a penal statute. (  Cline vs. Frink Dairy Co. (1927) 274 U.S. 445, 71 L. Ed. 1146,  47 S. Ct. 681 ). ""The Attorney General of California is of the opinion that this 1909 amendment was invalid in view of the holding in Cline vs.  Frink Dairy Co., never became a part of the 1907 act, hence that Section 1 of the Cartwright Act in the form in which originally  enacted is valid and operative. (Opinion NS 2806, July 29, 1940.)",
48,"""In the absence of a decision by the California Supreme Court, the commission has prepared a codification of the entire  California act, as amended. As thus codified, without substantial change, it will, of course, have neither greater nor less validity,  operation or effect than prior to codification. (  Business and Professions Code, Sec. 2 :  San Joaquin etc. Irr. Co. vs. Stevinson,  164 Cal. 221, at 233, 128 P. 924  and 234;  Sobey vs. Molony, 40 Cal. App. 2d 381, 104 P.2d 868 .) However, as a special  precaution, the commission has inserted a specific saving clause (Section 16701) which is specially designed to leave as it is the  question of separability, so that the 1907 Cartwright Act, and the 1909 amendments thereto, will manifestly have no greater (and  no less) validity, operation, or effect than if they had not been codified.""",
53,A. B. C. Distributing Co. v. Distillers Distributing Corp. Reporter 154 Cal. App. 2d 175 *; 316 P.2d 71 **; 1957 Cal. App. LEXIS 1607 *** Core Terms LexisNexisÂ® Headnotes,
56,Headnotes/Summary Contracts?”Interpretation?”Extension of Time.  Id.?”Interpretation?”Questions of Law.  Id.?”Interpretation?”Questions of Law.  Id.?”Interpretation?”Terms Implied.  Id.?”Interpretation?”Terms Implied.,
57,Id.?”Interpretation?”Terms Implied.  Agency?”Exclusive Agencies.  Contracts?”Interpretation?”Terms Implied.  Id.?”Breach?”Waiver.  Monopolies and Combinations?”Cartwright Act.  Id.?”Restraint of Trade.,
58,Id.?”Damages for Injuries.  Id.?”Particular Agreements and Combinations.  Id.?”Particular Agreements and Combinations.  Id.?”Existence of Monopoly.  Id.?”Fair Trade Act.  Id.?”Necessity for Injury.,
59,"Injunctions?”Trade Secrets.  Monopolies and Combinations?”Right to Monopolize Customers.  Intoxicating Liquors?”Actions for Violation of Statute.  Opinion Plaintiff urges that the dismissal was forced by the court's stated intention to try the declaratory relief issues first and in the  absence of the jury.  Plaintiff urges error in the ruling of the court in view of the decision of the Supreme Court in  State Farm etc.  Ins. Co. v. Superior Court, 47 Cal.2d 428, 431 [304 P.2d 13] , filed after the trial in the instant action.  But it is not necessary to",
60,"pass upon that question in view of our conclusion.  Even if the declaratory relief issues had been presented to the jury and they  had returned a verdict declaring that plaintiff had an option to renew the contract, such verdict would have been patently  erroneous.  Therefore, even if the court's ruling was erroneous, plaintiff suffered no prejudice thereby.",
62,"This order, herein referred to as the ""consent decree,"" was refused admission into evidence at the trial.  Plaintiff's claim of error  in this respect is considered below.",
65,"Clayton Act, section 4,  15 U.S.C.A. Â§ 15 . HN6 [ ] ""Any person who shall be injured in his business or property by reason of anything forbidden in the antitrust laws may  sue therefor in any district court of the United States in the district in which the defendant resides or is found or has an agent,  without respect to the amount in controversy, and shall recover threefold the damages by him sustained, and the cost of suit,  including a reasonable attorney's fee."" Business and Professions Code, section 16750. HN7 [ ] ""Any person who is injured in his business or property by reason of anything forbidden or declared unlawful by this  chapter, may sue therefor in any court having jurisdiction in the county where the defendant resides or is found, or any agent  resides or is found, or where service may be obtained, without respect to the amount in controversy, and to recover twofold the  damages sustained by him, and the costs of suit.""",
67,"""2.  Distributor hereby accepts the appointment as such distributor and agrees to sell and distribute to retail licensees such  alcoholic beverages within the designated territory. Distributor warrants that during the year ending December 31st, 1952, the  proportion of its total sales of alcoholic beverages represented by Calvert products was 22.1 per cent.  Distributor agrees that  during the term of this contract, it will spend no less than 22.1 per cent of its time and effort on the sale of Calvert products and  not less than 22.1 per cent of the money spent by it on advertising and sales promotion shall be expended on Calvert products."" ""9.  Distributor represents that at the time of the execution of this agreement, it is acting as a distributor of the brands of alcoholic  beverages listed on Exhibit B attached hereto. ""Distributor agrees that it will not undertake the distribution of any additional brands of alcoholic beverages without giving Calvert  90 days' written notice of its intention so to do."" ""12. In the event this contract is not renewed, Distributor agrees that within 30 days after March 1, 1954, it will return to Calvert  at its invoice price all of the Calvert merchandise remaining in its inventory.""",
69,"Heavy, Highway Bldg. & Constr. Teamsters Committee v. Superior Court of  San Francisco Reporter 203 Cal. App. 2d 591 *; 21 Cal. Rptr. 840 **; 1962 Cal. App. LEXIS 2398 ***; 50 L.R.R.M. 2709; 45 Lab. Cas. (CCH) P17,695 Core Terms LexisNexisÂ® Headnotes",
70,Headnotes/Summary,
71,Prohibition?”Jurisdiction?”Objections.  Labor?”National Labor Relations Act.  Prohibition?”Procedure ??Determination ??Moot Questions.  Opinion,
75,Futurecraft Corp. v. Clary Corp. Reporter 205 Cal. App. 2d 279 *; 23 Cal. Rptr. 198 **; 1962 Cal. App. LEXIS 2131 *** Core Terms LexisNexisÂ® Headnotes,
80,Headnotes/Summary Injunctions?”Matters Controllable?”Trade Secrets.  Id.?”Matters Controllable?”Trade Secrets.  Master and Servant ??Mutual Duties and Rights ??Trade Secrets.  Id.?”Mutual Duties and Rights?”Trade Secrets.,
81,Injunctions?”Matters Controllable?”Trade Secrets.  Master and Servant ??Mutual Duties and Rights ??Trade Secrets.  Injunctions ??Matters Controllable ??Trade Secrets.  Id.?”Matters Controllable?”Trade Secrets.  Id.?”Matters Controllable ??Trade Secrets ??Evidence.,
82,"Opinion The trial court's memorandum provides in part as follows: ""III ""The first subject to which I address my attention is chosen for priority in order not because it has basic significance, although it  has, but only because it can, I think, be disposed of most easily. ""I recognize the fiduciary relationship that exists between an employee and his employer.  No conversation between the parties,  specifically dwelling upon the subject, was necessary to establish that relationship and the incident duties, they being created  and defined by the law.  Section 2322 of our Civil Code, being part of an article on the 'authority of agents,' states that '[an]  authority expressed in general terms, however broad, does not authorize an agent: . . . 3 To do any act which a trustee is  forbidden to do by article two, chapter one, of the last title.' This provision directs us back to the cleanly cut statutory delineation  of the 'Obligations of Trustees' found in sections 2228-2239 of the same code. ""These statutes are supplemented by the Labor Code, wherein, in  section 2856 , the Legislature has decreed as follows: HN1 [ ] ""'  Â§ 2856 .  [ Compliance with employer's directions .] An employee shall substantially comply with all the directions of his  employer concerning the service on which he is engaged, except where such obedience is impossible or unlawful, or would  impose new and unreasonable burdens upon the employee.' ""'  Â§ 2859 .  [ Use of skill possessed .] An employee is always bound to use such skill as he possesses, so far as the same is  required, for the service specified.' ""'  Â§ 2860 .   Ownership of things acquired by virtue of employment .  Everything which an employee acquires by virtue of his  employment, except the compensation which is due to him from his employer, belongs to the employer, whether acquired  lawfully or unlawfully, or during or after the expiration of the term of his employment.'",
83,"""As pointed out in  Burns v. Clark, 133 Cal. 634 [66 P. 12, 85 Am. St. Rep. 233] , a key phrase in  section 2860  is the phrase 'by  virtue of his employment.' ""A statement of the law on this subject, law which is really quite elementary, appears in 2 California Jurisprudence 2d at pages  769-774; and having satisfied myself of the fairness and reliability of the statement, I have no hesitancy in citing it as a short-cut  to an abundance of precedent. ""In relation to all the foregoing, however, we must have in mind that the relationship and duties of an employee to his employer  are one matter, and the duty, if any, of an ex-employee to an ex-employer is quite another. HN2 [ ] ""Whether any duty or interdiction, other than the general duties that rest upon us all, hangs over the ex-employee  depends on the existence or nonexistence of either or both of two possibilities: (1) a contract yet in force in one or more  respects, and to be performed, or a new contract, or (2) an item of private property, which may be a product of the mind,  belonging to the ex-employer, in respect to which the ex-employee still carries a trust responsibility, or the ownership of which,  as of any other private property, commands by law the respect of, and forbids the invasion, trespass or conversion by, others  than the owner.  . . . ""IV "". . . I refer to the proposition [i.e., urged by plaintiff's counsel] that by virtue of  section 1962, subdivision 2 , of the Code of Civil  Procedure, the defendant Koutnik is forever bound by recitals contained in the verification of the patent application, Plaintiff's  Exhibit 35, and is now estopped to deny the originality, as of the date of that application, of the inventions and the claims in  respect thereto stated in the application. ""The pertinent part of  section 1962, Code of Civil Procedure , reads as follows: ""'  Â§ 1962 .  [ Presumptions; conclusive ].  Specification of Conclusive Presumptions.  The following presumptions, and no others,  are deemed conclusive: ""'. . . . HN3 [ ] ""'2. The truth of the facts recited, from the recital in a written instrument between the parties thereto, or their successors  in interest by a subsequent title; but this rule does not apply to the recital of a consideration;' ""In the verification to the patent application, Koutnik and Piet made these statements among others not pertinent here: ""'. . . that we have read the foregoing specification and claims and we verily believe we are the original, first and joint inventors of  the invention or discovery in High Pressure Valve Mechanism described and claimed therein; that we do not know and do not  believe that this invention was ever known or used before our invention or discovery thereof, or patented or described in any  printed publication in any country before our invention or discovery thereof, or more than one year prior to this application . . .' ""It seems clear to me that the intended effect of  Code of Civil Procedure, section 1962 ,  subdivision 2 , is a limited effect, and that  the presumption applies conclusively only when it is relevant to a controversy that questions 'the obligations or liabilities of the  contracting parties' or 'their successors in interest' under the 'written instrument' in which the recitals appeared.  I say frankly that  I know of no California case stating explicitly what I just have said, but a like view, I believe, is implied or insinuated in:  ""  Gas Appliance Sales Co., Inc. v. W. B. Bastian Manufacturing Co., 87 Cal.App. 301, 306 [262 P. 452] ; ""  Taylor v. Lundblade, 43 Cal.App.2d 638, 640 [111 P.2d 344] ; ""  Rhine v. Ellen, 36 Cal. 362 .",
84,"""The instant action involves no question concerning the liabilities or obligations of the parties under and/or by virtue of the patent  application, Exhibit 35, the verification thereof or the assignment to Futurecraft Corporation, and this action is not in any of its  causes founded on or claimed to derive from any of or all such instruments. "". . . . ""Exhibit 35 is, of course, in evidence, and I would say rather conspicuously so.  I do not deny or question its place in evidence for  all pertinent and reasonable purposes and inferences, not all of which are favorable to plaintiff, but I do . . . refuse to set up a  conclusive  presumption or an estoppel against other relevant evidence, as requested and urged by the plaintiff.  [Emphasis  shown.] ""V "". . . a theme that has been intoned by plaintiff throughout this litigation . . . [is] that the one all-important, basic and critical  question in this case, and in any similar case, is whether or not the employee, while in the confidential relationship of servant to  his master, received ideas or knowledge from his employer, or through his employment, which, since the end of the employment,  he has used to his own advantage and/or to the injury of the former employer. ""This theory . . . has been encouraged by the much quoted detached words of Mr. Justice Holmes in  E. I. Du Pont De Nemours  Powder Co. v. Masland, 244 U.S. 100, 102 [37 S.Ct. 575, 61 L.Ed. 1016] , quoted on page 16 of plaintiff's trial brief: ""'Whether the plaintiffs have any valuable secret or not, the defendant knows the facts, whatever they are, through a special  confidence that he accepted.  The property may be denied, but the confidence cannot be.' ""We find a similarly isolated statement on page 4 of plaintiff's trial brief, taken from  Fairchild Engine and Airplane Corp. v. Cox,  50 N.Y.S.2d 643, 657  . . .: ""'Concededly, the field [of prior art] was not entirely virgin.  But the plaintiffs' expenditures [ sic ] of time and money brought results  not reached by others.  Once we conclude that the work done under Cox's supervision was confidential, and that Cox threatens  to breach the confidence, all else is of subordinate importance.' ""The most clarifying way to deal with this theory that confidence is paramount and all else is subordinate is, I believe, by  reductio  ad absurdum .  . . . "". . . . HN4 [ ] ""Manifestly and necessarily, when we confront the claimed existence of a trade secret, and a claim that it has been  misappropriated, trespassed upon or wrongly converted, we are commanded to an injury that is just as vital as that which looks  for a confidential relationship, namely, an inquiry into the existence or nonexistence of the element of private property. "". . . . ""California by numerous judicial decisions and by statute long has recognized private property in products of the mind.   Examples of the recognition are the following: "" Civil Code, section 980, subdivision (b) : ""'The inventor or proprietor of any invention or design, with or without delineation, or other graphical representation, has an  exclusive ownership therein, and in the representation or expression thereof, which continues so long as the invention or design  and the representations or expressions thereof made by him remain in his possession.' "" Civil Code, section 983, subdivision (b) : ""'If the owner of any invention or design intentionally makes it public, a copy or reproduction may be made public by any person,  without responsibility to the owner, so far as the law of this State is concerned.' "" Civil Code, section 984 : ""'If the owner of an invention or design does not make it public, any other person subsequently and originally producing the  same thing has the same right therein as the prior inventor, which is exclusive to the same extent against all persons except the  prior inventor, or those claiming under him.'",
85,"""Hence we are not engaged in mere psychic phenomena or pure speculation or the pursuit of mystery when we inquire whether  Mr. Koutnik, when he left the employ of plaintiff, carried with him any knowledge or ideas which then were and still are the  private property of the plaintiff. ""VI "". . . at least certain of the so-called trade secrets claimed by plaintiff are now, and long have been, in the public domain, or if in  any instance, the private property of anyone, then the property of someone other than plaintiff. ""In its courageous effort to efface competition from the defendants by the theory of being exclusive owner of certain trade  secrets, plaintiff has confronted three distinct and formidable factual barriers: (1)  Its own sales of its valves in the market that  exists for such products, and its sales and promotional efforts and methods, including public displays (meaning, in this case, of  course, displays for that part of the public interested in such products ).  [Emphasis added.] (2) The prior art, the previously  known, published and utilized ideas, principles, devices and methods in valve manufacture. (3) The filing by plaintiff of an  application for patent, Plaintiff's Exhibit 35, and the incidental necessary disclosure to the public of all those ideas and features  claimed to be secret. ""Although our California statutes defining property rights in products of the mind ( Civ. Code, Â§Â§ 980- 985 ) are not expressly  related to the subject of trade secrets, they must be respected as expressions of California's legislative theory, policy and  decision.   Civil Code, section 983, subdivision (b) , not only specifically states a significant principle, but it is freighted with  connotations not to be ignored.  It says: HN5 [ ] ""'If the owner of any invention or design intentionally makes it public, a copy or reproduction may be made public by any  person, without responsibility to the owner, so far as the law of this State is concerned.' ""The fact that the structure or configuration of a valve is not obvious to external observation or examination is of no significance  in a market such as we deal with here.  We cannot know the recipe for a jar of jam, either, just from looking at it.  As the  evidence conclusively has proved, it is no 'trick,' but only a matter of some labor and time, for an engineer or a machinist to cut  open a valve and see in bare display all the details of its configuration.  Every time a valve was sold, all the 'secrets' in its design  were transmitted to the purchaser, who then was empowered to transmit them to others as he wished or willed .  [Emphasis  added.] ""Counsel for defendants have laid a good deal of stress upon the fact -- and it is a fact -- that plaintiff made numerous sales of its  valves without imposing or attempting to impose any restriction upon the purchaser as to the use to which the valves might be  put or the disposition the purchaser might make of them.  It is evident to me that I do not attach so much importance to so-called  proprietary notices and notices of restrictive use as counsel for defendants possibly do, and as counsel for plaintiff certainly do. ""I recognize, of course, that as between A, a manufacturer and prospective seller, and B, a prospective or actual buyer, any kind  of a lawful agreement they wish to, and do, make will be binding upon them . . . But the effect of this private agreement upon  others not privy to it, upon the public, and upon a secret or so-called secret, is quite a different matter . . . And I am not  convinced that in the commercial world one can preserve a trade secret by the simple device of telling all to whom he reveals it  that he claims it to be a secret and his private property. ""I agree with Mr. Lyon that  HN6 [ ] the patent laws of the United States delimit the only legitimate way by which one can  establish a monopoly in the commercial utilization of an original mechanical idea.  Were we judicially to authorize the creation of  a monopoly by the simple and easy method of attaching 'proprietary' and restrictive notices to products and to the drawings,  sales literature, invoices, bills of sale and other papers used in selling and trying to sell them, we would circumvent the patent  law and negate the antitrust laws, two chapters of jurisprudence firmly embedded in the public policy of our commonwealth. ""VII ""Facing the prior art in the field of valve manufacture, plaintiff is in the unenviable position of being required to depose or  disparage, if he is to surmount the revelation of the evidence, the very doctrine that he must mightily uphold to obtain the relief  he seeks or any valuable relief.  I refer to the doctrine of equivalence. Plaintiff's own expert witness, Mr. Gregg, utilized and  expounded the doctrine.  And defendants' expert witness, Mr. Doble, made equally sincere and effective use of the doctrine in  displaying the prior art.",
86,"""I do not mean to imply that the doctrine of equivalence is needed to give relevant meaning to every fact and record produced at  the trial from the storehouse of knowledge relative to valve manufacture. Indeed, in many details no translation or interpretation  through functional analogy is required. ""But the doctrine of equivalence is vital to plaintiff's case.  It might be called the heart of plaintiff's cause of action, if plaintiff has  any cause of action. ""The pleadings and statements of counsel and certain of the evidence have made clear to the court that  plaintiff does not  contend that either defendant has produced, or threatens to produce, a valve having the exact configuration of any of plaintiff's  valves. It is equally clear that plaintiff does not seek injunctive relief which merely would restrain defendants from producing a  valve exactly like any of plaintiff's valves. Not only does plaintiff pray for an injunction that would make full play of the doctrine of  equivalence, but anything less would be of no value to it .  [Emphasis added.] ""If we were to ask a dozen learned and skillful valve engineers each to work independently of the other, each to avail himself of  all accumulated and recorded knowledge of the valve art, and each to design a valve to accomplish a specific function, the  probability is that no two of them would produce precisely the same configuration. The point is, as plaintiff well knows and as its  pleadings, prayer, evidence and argument all indicate, a valve manufacturer has no advantage over his competitor simply in  having a unique configuration, a unique way in which he arranges and uses the commonly held or available knowledge, ideas  and mechanical principles relating to the art. ""The court has no choice but to recognize and respect the full significance of the doctrine of equivalence, and doing so, it finds in  the prior art, not necessarily alone, but certainly in conjunction with other relevant factors, formidable opposition to plaintiff's  claim of private property in the ideas which it seeks to have defendants enjoined from using. ""VIII HN7 [ ] ""After a person has applied for a patent from the United States Government and has complied with the law pertaining to  the public disclosure of his ideas, he is hardly in a position thereafter to claim that any of the ideas so disclosed is a trade secret.  If he establishes a claim of invention, he, of course, will have a right of private property as evidenced by, and to the extent  granted in, the patent. Thereupon his rights of monopoly will be controlled by the patent laws, not by any equitable or legal  principles applicable to the misuse of trade secrets. ""As stated in  Speaker v. Shaler Co., 87 F.2d 985 , (Circuit Court of Appeals, Seventh Circuit; certiorari denied,  301 U.S. 695 [57  S.Ct. 923, 81 L.Ed. 1350] ) concerning the filing of an application for patent: ""'The contents thereof were disclosed to the world by filing it [the application] in the patent office.  Nothing therein could have  remained confidential or secret.' "". . . . ""IX ""Uncontradicted evidence establishes the fact that when Rodrick [ sic ] Koutnik entered the employ of plaintiff, he carried with him  a good deal of knowledge concerning the art, science and mechanics of valve design and manufacture, and a good deal of skill  in the application of that knowledge.  We, of course, cannot know precisely what ideas, theories and facts then were lodged in  his own brain. ""Much, probably most, of that knowledge had been acquired at the Jet Propulsion Laboratory of the California Institute of  Technology, where many young engineers have received not only a theoretical, but an extraordinarily practical, 'post-graduate  course.' It is reasonable to conclude that the learning there imbibed by Koutnik was supplemented by his own independent  studies and thinking and possibly by contacts and association with engineers from other institutions. ""It would be impossible for me, as I am sure it would for any counsel in the case, to draw a boundary line between the  knowledge carried by Koutnik into his employment by plaintiff and any additional knowledge or ideas he may have acquired by  virtue of that employment.  Indeed, no such boundary line exists, for as new knowledge is acquired it integrates itself with the  old.  We deal here with a sum total of ideas, theories, facts, principles and skills that we know not how to divide, assuming that a  part is attributable to Koutnik's employment by plaintiff. "" To grant plaintiff the relief requested, or any remedy that would be of value to it, would necessitate enjoining Koutnik from the  use of knowledge, a good deal of which certainly is his own or belongs to the public domain, gained by him through his own",
87,"industry and intellectual faculties, independently of any association with plaintiff, and inextricably interlaced with any knowledge  he may have acquired through his employment by plaintiff .  [Emphasis added.] HN8 [ ] ""To prevent or to attempt to prevent a person from using his own learning and skill, in respect to which he is under no  duty of restraint by virtue of a trust or confidence, would be so plainly an injustice and a social and economic folly, that when we  have an actual or possible integration of such knowledge with knowledge or ideas encumbered by a prohibition because of their  genesis in confidence, the plaintiff seeking prohibitory judgment must carry the burden of identifying and isolating the particular  products of the mind in which he claims to have a right of private property. ""X ""For reasons indicated, I conclude that plaintiff is not entitled to take anything by this action. "". . . ."" The findings of fact and conclusions of law are in pertinent part as follows: ""Findings of Fact ""1. At no time during the course of his employment by Futurecraft did Koutnik in any way violate the fiduciary relationship which  existed between him and Futurecraft because of such employment nor did he do any act which a trustee is forbidden to do under  the laws of this state. ""2. When Koutnik reentered the employ of Futurecraft on or about January 31, 1953, said date being not less than five months  prior to the development or designing, or the alleged conception or invention, by Futurecraft of any of the valves or valve  components referred to in Paragraphs V, VI, VII and IX of the first cause of action of the complaint, Koutnik brought with him  much, if not most, of the knowledge and skill concerning the art, science and mechanics of valve design and manufacture which  he utilized in designing and developing, or participating in the design or development of, the valves or valve components referred  to in Paragraphs V, VI and VII of the first cause of action of the complaint, or which he utilized in designing or developing, or  participating in the design or development of, certain progenitors of the valve referred to in Paragraph IX of said cause of action.  If Koutnik acquired any part of said knowledge or skill by virtue of his employment by Futurecraft, then plaintiff has not sustained  the burden of identifying or isolating that part of said knowledge or skill so acquired.  In this connection, during the course of his  employment by Futurecraft Koutnik had no knowledge of the design or internal arrangement of the parts of, or the materials used  in, the valve referred to in Paragraph IX of the first cause of action of the complaint, and all of the allegations contained in the  third sentence of Paragraph IX of said cause of action are untrue. ""3. None of the matters or things allegedly confidential to Futurecraft, as set forth in Paragraphs V, VI, VII and IX of the first  cause of action of the complaint and in Answers 4, 8, 34, 57, 104 and 108 of Futurecraft's answers to Clary's interrogatories, is  or ever was owned by, or confidential to, or the private property or a trade secret of, Futurecraft.  In this connection all of the  allegations contained in the third sentence of Paragraph V and in the fourth sentence of Paragraph VI, of Paragraph VII, and of  Paragraph IX of the first cause of action of the complaint are untrue. ""4. Each and all of the matters and things hereinabove referred to in Paragraph 3 was in the public domain or a matter of public  knowledge or of general knowledge in the trade or industry concerned with the design or manufacture of valves or valve  components before any of said matters or things was assertedly conceived, invented, designed or developed by Futurecraft, or  in any event before Koutnik terminated his employment at Futurecraft on or about March 17, 1956. ""5. Each and all of the matters and things hereinabove referred to in Paragraph 3 was known in the art relating to the design or  manufacture of valves or valve components, that is to say, was known through patents or applications therefor or through  published or utilized materials, ideas, principles, devices or methods relating to such art, before any of said matters or things  was assertedly conceived, invented, designed or developed by Futurecraft.  In this connection all of the allegations contained in  the fourth affirmative defense appearing in the respective answers of Koutnik and Clary are true. ""6. If any matter or thing hereinabove referred to in Paragraph 3 was ever confidential to, or a trade secret of, Futurecraft, every  element of confidence or secrecy with respect thereto was made public knowledge, or in any event was lost to Futurecraft, either  through deliveries or sales by Futurecraft to its customers or prospective customers of the valves and valve components referred  to in Paragraphs V, VI, VII and IX of the first cause of action of the complaint, or through some action taken by the customer or  prospective customer subsequent to such sale or delivery, or through drawings showing the internal arrangement of the parts  and the design of such valves and valve components delivered by Futurecraft to said customers or prospective customers. Said  sales or deliveries commenced in or about September 1953 and have continued to a date not earlier than June 1958.  Many of  the sales and deliveries of each type of valve and valve component mentioned in said Paragraphs V, VI, VII and IX were made",
