Page,Footnote
68,"*  Together with No. 27, South Dakota et al. v. United States et al., and No. 28, Minnesota et al. v. United States et al., also on"
78,"1  Section 5 (2) of the Interstate Commerce Act (24 Stat. 380, as amended, 54 Stat. 905, 49 U. S. C. § 5 (2))  ["
78,"2  The term ""bridge carrier"" appears to mean a short-line carrier which transports through traffic from one long-line carrier to"
79,"3  During the negotiations, Minneapolis first offered $ 69.50, and later $ 80, per share for the stock. On April 15, 1955, the Santa"
79,"4  The contract of June 28, 1955, between the Santa Fe and the Pennsylvania Company provided that it was without prejudice to"
79,5  See note 1.
80,"6  The New York, Chicago & St. Louis Railroad Company (""Nickel Plate"") and the Chicago, Rock Island & Pacific Railroad"
80,"7  The Chicago, Burlington & Quincy Railroad Company (""Burlington"") and the Wabash Railroad Company (""Wabash"") did not"
80,8  See notes 6 and 7.
80,"9  49 U. S. C., n. preceding  , 54 Stat. 899."
82,"10  ,   Stat. 209."
82,"11  ,   Stat. 731."
84,12  It is clear that § 10 of the Clayton Act  [
84,"13  The legislative history of § 10 of the Clayton Act, though meager, supports the view stated in the text.  In fact, the language of"
85,"14  60 Stat. 242,  ."
92,"1  The pertinent provision of  ,   and   of the Act of July 2, 1890, 26 Stat. 209, as amended ( ,  ,  ),"
93,2  Congress has provided that  [
93,"3  32 Stat. 823,  , as amended by § 17 of the Act of June 25, 1948, 62 Stat. 989."
94,"4  When Parke Davis learned from a wholesaler's invoice that he had filled an order of one of the retailers, Parke Davis protested"
95,"5  Except that in December 1957, Parke Davis informed Dart Drug Company that it did not intend to have any further dealings"
98,"6  Indeed, if Peoples resumed adherence to the Parke Davis price scale after the interview between its vice-president and Parke"
100,"1  These are the ""restraint of trade,"" not the ""monopoly,"" provisions of the Sherman Act. See Note 1 of the Court's opinion."
101,"2  Those ""authorized by law to fill or dispense prescriptions."""
101,3
103,"4  The District Court found, among other things, that the efforts of Parke Davis in the District of Columbia and Virginia came about"
103,5  It may be observed that the facts found by the District Court militate more strongly against violation of the Sherman Act than
105,"*  Together with No. 73, United States v. Maryland and Virginia Milk Producers Association, Inc., also on appeal from the same"
112,1  Sherman Act  :  HN1 [
112,2  Sherman Act  :  HN2 [
112,3  Clayton Act § 7:  HN3 [
112,"4  38 Stat. 731 (1914),  , set forth in note 11,  ."
112,5  Capper-Volstead Act  :  HN4 [
113,"6  32 Stat. 823 (1903), as amended,  ."
113,7  Capper-Volstead Act  :  HN5 [
114,8    ;
114,"9  See,    ;"
114,"10  See statutes collected in Jensen, The   of U.S. Cooperative Agriculture,  20 Rocky Mt. L. Rev. 181, 191, n. 29"
114,11  Clayton Act § 6:  HN6 [
114,12  . v.   ;  . v.   . Cf.
114,"13  ""In the light of previous decisions of the courts and in view of a possible interpretation of the law which would empower the"
115,14  Some Congressmen opposed § 6 of the Clayton Act because it did not include agricultural associations with capital stock.
115,"15  H. R. Rep. No. 24, 67th Cong., 1st Sess. 2."
115,"16  The Solicitor of the Department of Agriculture testified that it was his ""opinion that if the farmers want to create monopolies or"
115,17  .
116,18    .
116,"19  See note 3,  ."
116,"20  Agricultural Adjustment Act, § 8b, as amended,  .   ;"
117,21  See   . Cf.    ;
117,22  See   .
117,23  See   .
128,"1  Since a holding that the Clayton Act had been violated sufficed to dispose of the case, we did not decide whether du Pont had"
130,"2  In this case, however, a majority of the Court substantially modified the District Court's decree, in spite of expressions of"
130,3  In   the Court relied in part on the fact that the district judge had initially found the violation of law.  This
130,"4  32 Stat. 823, as amended,  . The purpose of this statute was to expedite determination of antitrust cases by"
131,5  In one case this elimination of the normal review by the Court of Appeals almost prevented there being any review of the
131,6    [
132,7  Bills were introduced in the Eighty-sixth Congress to ameliorate the income-tax consequences of gain on disposition of stock
132,"8  See,    ;"
132,9
133,"10  The words were actually used of § 3 of the Clayton Act, but they are equally applicable to § 7."
133,11  See  . v.   ;  . v.   ;
133,"12  Appellees rely on several Clayton Act consent decrees granting relief short of divestiture, but the circumstances surrounding"
133,"13  See,  . v.   ;"
133,"14  See Hale and Hale,  ."
134,"15  For the significance of such long habit, see  . v.   ;"
135,"16    , appeal dismissed on motion of"
135,"17  See Hale and Hale,  ."
135,18    ;
136,"1  38 Stat. 731,  . The suit was brought prior to the enactment in 1950 of amendments to the Act which,"
137,"2  26 Stat. 209, as amended, 50 Stat. 693,  ,  ."
137,3  See   .
139,"4  For a discussion of   Dallstream's recommendations, see the opinion of the District Court,   ."
140,"5  Transcript of Proceedings, March 31, 1959."
143,6  A summary of the detailed provisions of the decree carrying out the direction and purposes of the court's opinion follows.
144,"7  See,    ;  . v."
145,"8  In addition, see, for example, McClintock, Equity (2d ed. 1948), § 30: ""A court of equity may frame its decree so as to protect to the greatest extent possible the conflicting interests of the parties; to"
146,9  See also   ;   ;
146,"10  The Bicks statement itself makes repeated reference to the pending   case.  See 4 Antitrust Bulletin, at 561, n. 7, 562,"
147,11  And see   .
148,12  For a similar statement see   .
148,"13  In the   case,   , the Court placed in this category  . v."
149,"14  See additionally,   ."
149,15  This construction of the statute had long been settled.  See  . v.
150,"16  To the same effect, see   ;  . v.   ;"
151,17  The Court should not allow itself to be led to a contrary conclusion by the language of
152,18  Compare the Government's proposed Article IX with Section V of the final judgment.
152,19  Compare the Government's proposed Article X with Section IV of the final judgment.
152,20  Compare the Government's proposed Article XIII with Sections IX and XII of the final judgment.
153,21  See   ;  . v.
161,1  Section 7 of the Clayton Act provides in relevant part: HN1 [
163,"2  Section 11 of the Clayton Act,  , vests authority to enforce compliance with § 7 by the persons subject thereto: HN8 ["
163,"3  Where ""the effect of such acquisition may be substantially to lessen competition."" Section 7,  , note 1."
163,"4  In that case, which also was under § 7 of the Clayton Act, we said:  HN10 ["
164,5  Section 7 (c) provides in relevant part: HN13 [
166,"1  The fact that such a motion was made and denied does not appear in the record before this Court.  However, it is asserted in El"
166,"2  Because of the posture of this case, I would not reach the question as to what weight should be given to the pendency of"
167,"3  Whatever may be the impact on a § 7 action of the Commission's approval of this merger, it can be felt only in the antitrust suit."
169,"*  Together with No. 43, Loew's Incorporated et al. v. United States, and No. 44, C & C Super Corp. v. United States, also on"
177,"1  ""Every contract, combination in the form of trust or otherwise, or conspiracy, in restraint of trade or commerce among the"
179,"2  National Telefilm has, however, filed a brief in opposition to the Government's requests for modifications in the decree,"
180,3  See  . v.   ;   ;
180,"4  Since the requisite economic power may be found on the basis of either uniqueness or consumer appeal, and since market"
181,5  Appellants' framing of their argument in terms of each of them not having dominance in the market for television exhibition of
182,"6  To use the trial court's apt example, forcing a television station which wants ""Gone With The Wind"" to take ""Getting Gertie's"
183,"7  The operative portion of the injunctions appears at p. 43,  ."
193,"1  We are advised by appellant that since the judgment below, White ""no longer uses distributors as a separate tier in its system,"
193,2  Appellant does not appeal from the District Court's ruling that the provisions of the contracts fixing resale prices were unlawful.
194,"3  See note 2,  ."
197,"1  For a general consideration of the history and legality of restraints upon alienation, both at common law and under the"
197,"2  The general principle which the Court has stated with respect to price-fixing agreements is applicable alike to boycotts,"
198,"3  Outside the categories of restraint which are   unlawful, this Court has said that the question to be answered is ""whether"
198,"4  See  . v.   ;   ,"
198,"5  For contrasting views on this question, compare Kessler and Stern, Competition, Contract, and Vertical Integration,  69 Yale L."
198,"6  See, for an elaboration and discussion of some of the factors which might enter such an inquiry,  ., FTC"
199,"7  See Note, Restricted Channels of Distribution Under the Sherman Act,  75 Harv. L. Rev. 795, 800-801 (1962). It may be"
199,"8  For situations in which such extenuations might be relevant, compare,  . v."
199,"9  If the restraint is shown to be excessive for the manufacturer's needs, then its presence invites suspicion either that dealer"
200,"10  In its complaint, the Government charged that any dealer or distributor who sells in another's reserved territory must pay to the"
200,"11  The District Court suggested,   , and the Government seems to concede, that certain types of"
200,"12  See  ., FTC Docket No. 7116, 3 CCH Trade Reg. Rep. para. 15,546, p. 20,414.  A number of consent"
200,"13  The essential question whether such restraints exceed the appellant's competitive needs cannot be answered, as the"
201,"14  In an analogous case, brought under § 5 of the Federal Trade Commission Act, the Commission dismissed the complaint"
204,"1  H. R. 6544, 84th Cong., 1st Sess.  The bill was never reported from the Committee."
205,"2  Our recent certification of the amendment to the summary judgment procedure under  , quoted in the Court's opinion,"
221,1   of the Sherman Act provides in pertinent part:  HN1 [
221,"2  The discussion in this portion of the opinion draws upon undisputed evidence of record in the case, supplemented by pertinent"
222,"3  In addition, there is a certain amount of bank holding company activity.  The Bank Holding Company Act of 1956,"
222,"4  Such creation is not, to be sure, pure sleight of hand.  A bank may not make a loan without adequate reserves.  Nevertheless,"
222,"5  The principal banking ""products"" are of course various types of credit, for example: unsecured personal and business loans,"
224,"6  In 1957, for example, there were three bank suspensions in the entire country by reason of financial difficulties; in 1960, two;"
224,"7  The proposed ""merger"" of appellees is technically a consolidation, since the resulting bank will be a different entity from either"
225,"8   provides in pertinent part: 374 U.S. 321, *330; 83 S. Ct. 1715, **1723; 10 L. Ed. 2d 915, ***925; 1963 U.S. LEXIS 2413, ****16 Page 20 of 48   would have substantial anticompetitive effects in the Philadelphia metropolitan area.  However, on February 24,  1961, the Comptroller approved the merger. No opinion was rendered at that time.  But as required by  § 1828 (c) ,  the Comptroller explained the basis for his decision to approve the merger in a statement to be included in his  annual report to Congress.  As to effect upon competition, he reasoned that ""since there will remain an adequate"
225,"9  See  , p. 329,  .  The resulting bank would have a lending limit of $ 15,000,000, of which $ 1,000,000 would"
225,"10  There was evidence that Philadelphia, although it ranks fourth or fifth among the Nation's urban areas in terms of general"
226,"11  We reject the argument that   of the Clayton Act, as amended,  , confers jurisdiction over banks upon the"
226,"12  No argument is made in this case that banking is not commerce, and therefore that   is inapplicable; plainly, such an"
226,"13  ""A merger necessarily involves the complete disappearance of one of the merging corporations.  A sale of assets, on the other"
227,"14  ""[A] merger such as appellees' may be effected upon the affirmative vote of the holders of only two-thirds of the outstanding"
227,"15  The legislative history of the 1914 Act is reviewed in  . v.   , and notes 22-"
227,"16  In the case of an acquisition like the instant one, in which shares in the acquired corporation are to be exchanged for shares in"
228,"17  Statements to the same effect may be found in,  , at 313-314, 316;"
228,"18  See note 1,  , for text of amended  .  The original   read in pertinent part: ""no corporation engaged in commerce shall"
229,"19  ""The purpose of the proposed legislation [the 1950 amendments to  ] is to prevent corporations from acquiring another"
229,20   involved the cash purchase by United States Steel Corporation of the physical assets of Consolidated Steel
229,"21  See note 19,  .  The congressional attitude toward this Court's  , and   decisions is typified in this"
230,22  A cash purchase of another bank's assets would not seem to be a fully effective method of corporate acquisition. In other
231,"23  See,  ., statement of Assistant Attorney General Bergson: ""If it  ] is to have any significant effect for the future, it is"
232,"24  See,  ., Staff of Subcommittee No. 5 of House Committee on the Judiciary, 82d Cong., 2d Sess., Bank Mergers and"
232,"25  See,  ., remarks of Representative Spence: ""The Clayton Act is ineffective as to bank mergers because in the case of"
232,"26  This contention was abandoned on appeal.  We consider it, nevertheless, because it touches the proper relations of the"
233,"27  Contrast this with the express exemption provisions of,  ., the Federal Aviation Act, 49 U. S. C. § 1384; Federal"
233,28  See   ;   ;
233,"29  See,    ;"
233,30  With respect to the question (upon which we intimate no view) whether judicial review of the Comptroller's decision is possible
234,"31  See generally Jaffe, Primary Jurisdiction Reconsidered.  The Anti-Trust Laws, 102 U. of Pa. L. Rev. 577 (1954); Latta, Primary"
234,"32  In   , the Court held that the FPC must stay its proceeding on a merger application"
235,"33  Cf.    . In the instant case, unlike"
235,"34  As one witness for the defendants testified: ""We have had in Philadelphia for 50 years or more the mutual savings banks offering 1/2 per cent and in some instances more"
236,"35  Consider the following colloquy between governmental counsel and a witness for the defendants: ""Q. What do you consider to be the area of a branch office?"
237,"36  The figures for PNB and Girard respectively are: 54% and 63% of the dollar volume of their commercial and industrial loans  originate in the four-county area; 75% and 70%, personal loans; 74% and 84%, real estate loans; 41% and 62%, lines of credit;  94% and 72%, personal trusts; 81% and 94%, time and savings deposits; 56% and 77%, demand deposits; 93% and 87%,  demand deposits of individuals.  Actually, these figures may be too low.  The evidence discloses that most of the business done  374 U.S. 321, *357; 83 S. Ct. 1715, **1738; 10 L. Ed. 2d 915, ***941; 1963 U.S. LEXIS 2413, ****60 Page 32 of 48   that bank offices on the perimeter of the area may be in   [*360]   effective competition with bank offices within;  actually, this seems to be a  [****64]   factor of little significance.  37  [****67]     LEdHN[27]"
237,37  Appellees suggest not that bank offices skirting the four-county area provide meaningful alternatives to bank customers within
238,"38  See Kaysen and Turner, Antitrust Policy (1959), 133; Stigler, Mergers and Preventive Antitrust Policy, 104 U. of Pa. L. Rev."
238,"39  Comment, ""Substantially to Lessen Competition . . ."": Current Problems of Horizontal Mergers,  68 Yale L. J. 1627, 1638-1639"
238,"40  See p. 331,  .  We note three factors that cause us to shade the percentages given earlier in this opinion, in seeking to"
239,"41  Kaysen and Turner,  , note 38, suggest that 20% should be the line of prima facie unlawfulness; Stigler suggests that any"
239,"42  See note 41,  .  It is no answer that, among the three presently largest firms (First Pennsylvania, PNB, and Girard), there"
240,43  The fact that some of the bank officers who testified represented small banks in competition with appellees does not
240,"44  Entry is, of course, wholly a matter of governmental grace.  See p. 328,  .  In the 10-year period ending in 1961, only one"
240,"45  The following colloquy is representative: ""Q. Mr. Jennings, what is the nature of competition among commercial banks?"
242,"46  Thus, arguably, the so-called failing-company defense, see  . v."
243,"1  See Wemple and Cutler, The Federal Bank Merger Law and the Antitrust Laws,  16 Bus. Law. 994, 995 (1961). Many of the"
243,"2  These agencies and the areas of their primary supervisory responsibility are: (1) the Comptroller of the Currency -- national  banks; (2) the Federal Reserve System -- state Reserve-member banks; (3) the FDIC -- insured nonmember banks. 3  Samuelson, Economics (5th ed. 1961), p. 311."
243,"4  For example, savings and loan associations, credit unions, and other institutions compete with banks in installment lending to"
243,"5  Since bank insolvencies destroy sources of credit, not only borrowers but also others who rely on the borrowers' ability to"
244,"6  The term ""merger"" is generally used throughout this opinion to designate any form of corporate amalgamation.  See note 7 in"
244,"7  40 Stat. 1043, as amended,  ."
244,"8  44 Stat. 1225, as amended,  ."
244,"9  66 Stat. 599, as amended,  ."
244,"10  See Paton, Conversion, Merger and Consolidation Legislation -- ""Two-Way Street"" For National and State Banks,  71 Banking"
244,"11  64 Stat. 455, as amended,  ."
244,"12  64 Stat. 457; see 64 Stat. 892 (now 74 Stat. 129,  )."
244,"13  .  However, under the Act, insured banks merging with insured state banks did not have to obtain approval unless the"
245,"14  See Hearings before the Antitrust Subcommittee of the House Committee on the Judiciary, 84th Cong., 1st Sess., Ser. 3, pt. 1,"
245,"15  See also H. R. Rep. No. 1416, 86th Cong., 2d Sess. 5 (1960) (""The Federal antitrust laws are also inadequate to the task of"
245,"16  In the Senate, a sponsor of S. 1062, Senator Fulbright, reported that the ""1950 amendment to   of the Clayton Act,"
245,"17  ., H. R. 5948, 84th Cong. 1st Sess. (1955); S. 198, 85th Cong., 1st Sess. (1957); S. 722, 85th Cong., 1st Sess. (1957);"
246,"18  S. Rep. No. 196, 86th Cong., 1st Sess. 17 (1959): ""Time and again the Nation has suffered from the results of unregulated"
246,"19  See also S. Rep. No. 196, 86th Cong., 1st Sess. 16 (1959): ""But it is impossible to require unrestricted competition in the field"
246,"20  For the pertinent text of the statute, see note 8 in the Court's opinion,  , pp. 332-333."
246,"21  These factors are: ""the financial history and condition of each of the banks involved, the adequacy of its capital structure, its"
247,"22  See also 106 Cong. Rec. 7259 (1960): ""The language of S. 1062 as amended by the House Banking and Currency Committee"
247,"23  106 Cong. Rec. 7257 (1960): ""This puts the responsibility for acting on a proposed merger where it belongs -- in the agency"
247,"24  H. R. Rep. No. 1416, 86th Cong., 2d Sess. 11-12 (1960): ""We are convinced, also, that approval of a merger should depend"
247,"25  Compare  . v.   , in which this Court refused to reconsider certain"
248,"26  If a bank merger such as this falls within the category of a ""stock"" acquisition, a   suit to enjoin it may be brought not only by"
248,27  Indeed the Court has erected a simple yardstick in order to alleviate the agony of analyzing economic data -- control of 30% of
248,"28  Although   of the Clayton Act is applicable to an outright purchase of bank stock, this form of amalgamation is infrequently"
248,"29  It is true, as the Court points out ( , p. 354), that Congress, in enacting the Bank Merger Act, agreed that the applicability of"
249,30  In these respects a merger is precisely the contrary of what   was originally designed to proscribe -- the secret acquisition of
250,"31  That the stock-acquisition provision was not intended to cover mergers is strongly suggested by the second paragraph of  :  ""No corporation shall acquire . . . any part of the stock . . . of one or more corporations . . . where . . . the effect . . . of   of"
250,"32  On this point, the dissenters agreed: ""It is true that the Clayton Act does not forbid corporate mergers . . . .""   ."
251,"33  See also Hearings on H. R. 988, H. R. 1240, H. R. 2006, H. R. 2734 before Subcommittee No. 3 of the House Committee on"
251,"34  The Federal Trade Commission had assumed primary enforcement responsibility before the 1950 amendment.  See Martin,"
251,"35  Compare note 26,  ."
251,"36  See note 33  ; Hearings on H. R. 2734 before a Subcommittee of the Senate Committee on the Judiciary, 81st Cong., 1st"
251,"37  The single excerpt quoted by the Court ( , p. 345) casts no doubt on this proposition, for Senator Kilgore's remark occurred"
251,"38  H. R. Rep. No. 1191, 81st Cong., 1st Sess. 2 (1949)."
252,"39  Federal Trade Commission, The Merger Movement: A Summary Report (1948),  passim . 40  ., Hearings on H. R. 988, H. R. 1240, H. R. 2006, H. R. 2734 before Subcommittee No. 3 of the House Committee on the"
252,"41  Hearings on H. R. 2734 before a Subcommittee of the Senate Committee on the Judiciary, 81st Cong., 1st & 2d Sess. 5-6, 17,"
252,"42  S. Rep. No. 1775, 81st Cong., 2d Sess. 3 (1950); H. R. Rep. No. 1191, 81st Cong., 1st Sess. 2-3 (1949)."
252,43  It is interesting to note that in the same year in which   was amended Congress passed an act   certain kinds of
253,"44  Since the Court does not reach the Sherman Act aspect of this case, it would serve no useful purpose for me to do so."
257,"1   and   of the Sherman Act provide in pertinent part: "" . Every contract, combination in the form of trust or otherwise, or conspiracy, in restraint of trade or commerce among"
257,2  That issue was put to rest by   .
258,3  In view of our disposition of the case we find it unnecessary to determine whether trust department services alone are another
258,4  Small loan companies make personal loans of $ 800 or less at interest rates higher than those charged by commercial banks.
258,"5  The Federal Deposit Insurance Corp. and the Federal Reserve Board used Fayette County as the geographical market, the"
261,"6  Two of which had been decided after  . v.   , which announced ""the rule of reason."""
262,1  Compare the dissenting opinion in   .
262,"2  The reason for singling out this aspect of the banks' activities is unclear, since the Court does not determine even whether trust"
262,"3    , cited by the Court,  , p. 671, is wholly irrelevant."
263,4  . v.   ;   ;
263,5    .
263,"6  The presumption which the Court laid down in   , that ""a merger which produces a firm"
263,"7  As found by the District Court, in 1960, First National had ""total assets of $ 65,069,000, total deposits of $ 58,673,000 and total"
264,"8  The only contrary evidence, testimony of presidents of three of the four competing local banks who ""expressed considerable"
264,"9  With reference to the probable development of the industry, the Government turns to the past and notes that the number of"
265,"10  It is one thing to say, as the Court did in  , at 609, that ""the Clayton Act's more specific standards"
273,"1  Section 7 of the Clayton Act, 38 Stat. 731, as amended by the Celler-Kefauver Antimerger Act, 64 Stat. 1125,  ,"
273,"2  Both parties and the District Court refer to this as an interindustry merger. The word ""industry"" is susceptible of more than one"
274,"3  The District Court found that the basic raw material used in the manufacture of cans, and the major cost factor bearing on their"
274,"4  According to the findings of the District Court, glass containers are made principally from sand, lime, and soda ash, and the"
276,"5  In 1952 Continental ran a series of advertisements emphasizing the following ""5 reasons why cans are an ideal container for"
277,6  Consumer preferences for glass or metal are often regional and traceable to factors other than the intrinsic superiority of the
277,"7  Ford Sammis & Company, a firm of market economists, conducted for the Glass Container Manufacturers Institute market"
278,8  The chairman of the board of Owens-Illinois Glass Co. testified that he takes into account the price of metal containers in
279,"9  An official of the Glass Container Manufacturers Institute described that organization's advertising program as three-pronged,"
280,10  Determination of market shares is made somewhat more difficult in this case than in the ordinary intraindustry merger because
282,"11  The six largest firms, and their respective percentages of the relevant market as of the year prior to the merger are:  American Can Co 26.8% Continental Can Co 21.9% Owens-Illinois Glass Co 11.2% Anchor-Hocking Glass Co 3.8% National Can Co 3.3% Hazel-Atlas Glass Co 3.1% Total 70.1% 378 U.S. 441, *459; 84 S. Ct. 1738, **1749; 12 L. Ed. 2d 953, ***966; 1964 U.S. LEXIS 2224, ****32 Page 17 of 23   States, 370 U.S., at 345, 346 .  [****35]   Where ""concentration is already great, the importance of preventing"
284,1  Both companies manufactured other related products which for present purposes may be disregarded.  See the description of
284,"2  Section 7 of the Clayton Act, as amended by the Act of December 29, 1950, 64 Stat. 1125,  , provides in"
285,"3  The Court confesses to some difficulty in determining market shares.  See  , pp. 459-460, n. 10."
285,"4  ""We have no difficulty in determining the 'line of commerce' (relevant product or services market) . . . in which to appraise the"
285,"5  In the District Court, the Government relied on 10 ""lines of commerce."" In addition to ""the packaging industry,"" ""the can"
285,"6  Although the Government makes the suggestion, which the Court now accepts, that wherever there is competition there is a"
286,"7  If the competition between metal and glass containers is sufficient to constitute them collectively a ""line of commerce,"" why"
286,"8  The ""practical indicia"" specified by the Court were: ""industry or public recognition of the submarket as a separate economic"
286,"9  The District Court observed also that ""relevant markets are neither economic abstractions nor artificial conceptions."""
287,10  This summary of the District Court's findings includes only so much as is relevant to the majority's opinion.  The District Court
287,"11  See note 6,  ."
288,"12  The Government urged other lines of commerce below, see note 5,  , but has abandoned all of them here except"
293,"1  This case was decided below and argued here on the assumption that, although the indictment itself was sufficient against a"
295,"2  The Commission reported: ""Purchases of cars and coal are two large expenditures that railroads make.  The New Haven"
295,3  [
297,"*  Summy-Birchard is successor to both the National Concert and Artists Corp. and its wholly owned subsidiary, Civic Concert"
305,1  The case was considered on interlocutory appeal.   .  Essex did not appeal and is not a party
305,"2  During the pendency of the case in the District Court respondent filed an amended complaint.  However, respondent's theories"
305,"3  38 Stat. 731, as amended,  ."
305,"4  26 Stat. 209, as amended,  ,  ."
305,"5  Section 4B of the Clayton Act, 69 Stat. 283,  , provides that: HN1 ["
305,"6  Section 5 (b), 38 Stat. 731, as amended,  , provides: HN2 ["
305,7  See  . v.  .
306,"8  Section 5 (a), 38 Stat. 731, as amended,  , provides: HN3 ["
307,9  See  . v.  .
310,"1  Section 4B of the Clayton Act, 69 Stat. 283,  , provides that: 381 U.S. 311, *322; 85 S. Ct. 1473, **1479; 14 L. Ed. 2d 405, ***413; 1965 U.S. LEXIS 2424, ****21 Page 12 of 17   running of this limitation period ""whenever"
310,"2  And of course, it is not at all clear that this is a suit ""instituted by the United States."" The Department of Justice brings suits and"
321,"1  Section 2 (a) of the Clayton Act, 38 Stat. 730 (1914), as amended by the Robinson-Patman Act,  ,"
321,"2  A proviso to § 2 of the original Clayton Act excepted price discrimination ""on account of differences in the grade, quality, or"
322,3  The commentators are somewhat divided on the dispute involved in this case.  Supporting the Commission's view are the
322,"4  Mr. H. B. Teegarden, who was then counsel to the United States Wholesale Grocers Association, and who apparently played a"
323,"5  Borden argues that it spends large sums to ensure the high quality of its Borden brand milk on customers' shelves, inferring"
323,6  The market acceptability test would hardly stop with insulating from inquiry the price differential between proprietary and private
324,"7  This is not, of course, a helpful suggestion to those who think the congressional remedy would be ""very difficult if not"
324,"8  Section 2 (b),  , provides as follows: ""Upon proof being made, at any hearing on a complaint under this section, that there has been discrimination in price or services"
324,"9  The Court of Appeals relied upon  ., CCH Trade Reg. Rep. Transfer"
325,"1  For example, one wholesaler, a witness for the Commission, stated: ""Private label merchandise is no good for nobody unless there is a price on it. . . .  In the retail trade as a whole they haven't"
325,2  No suggestion is made that any of the private label brands involved in this case show significant commercial differentiation from
325,"3  Cf. Chamberlin, The Theory of Monopolistic Competition 56 (8th ed. 1962): ""A general class of product is differentiated if any significant basis exists for distinguishing the goods (or services) of one seller"
326,"4  For example, a grocer testified in the proceedings before the Commission that: ""People are going into a grocery store to pick up groceries, the majority of the people buy something that is advertised that they"
326,"5  The results of a house-to-house survey conducted for Borden by National Analysts, Inc., indicated that consumers selected"
326,6  Borden's Food Products Division maintained a staff of field representatives who inspected code-datings on cans of Borden
326,"7  As counsel for the respondent candidly stated on oral argument to the Court, ""The difference as to the private label brand"
